time,open,high,low,close,"Pattern Alert",Volume
1509993000,87.394,87.41,87.394,87.408,0,0
1509993300,87.408,87.425,87.406,87.41,0,0
1509993600,87.41,87.409,87.394,87.4,0,0
1509993900,87.4,87.411,87.4,87.406,0,0
1509994200,87.406,87.412,87.398,87.398,0,0
1509994500,87.398,87.406,87.376,87.376,0,0
1509994800,87.376,87.394,87.376,87.385,0,0
1509995100,87.385,87.397,87.374,87.39,0,0
1509995400,87.39,87.408,87.385,87.404,0,0
1509995700,87.404,87.428,87.402,87.423,0,0
1509996000,87.423,87.42,87.4,87.4,0,0
1509996300,87.4,87.43,87.4,87.428,0,0
1509996600,87.428,87.432,87.412,87.414,0,0
1509996900,87.414,87.416,87.404,87.41,0,0
1509997200,87.41,87.438,87.404,87.433,0,0
1509997500,87.433,87.448,87.422,87.432,0,0
1509997800,87.432,87.47,87.433,87.454,0,0
1509998100,87.454,87.486,87.446,87.476,0,0
1509998400,87.476,87.482,87.444,87.452,0,0
1509998700,87.452,87.456,87.43,87.432,0,0
1509999000,87.432,87.452,87.43,87.448,0,0
1509999300,87.448,87.451,87.437,87.449,0,0
1509999600,87.449,87.459,87.44,87.444,0,0
1509999900,87.444,87.444,87.426,87.432,0,0
1510000200,87.432,87.44,87.43,87.44,0,0
1510000500,87.44,87.446,87.434,87.434,0,0
1510000800,87.434,87.448,87.43,87.444,0,0
1510001100,87.444,87.458,87.442,87.456,0,0
1510001400,87.456,87.46,87.448,87.451,0,0
1510001700,87.451,87.47,87.446,87.466,0,0
1510002000,87.466,87.468,87.44,87.466,0,0
1510002300,87.466,87.472,87.466,87.467,0,0
1510002600,87.467,87.496,87.462,87.496,0,0
1510002900,87.496,87.5,87.465,87.474,0,0
1510003200,87.474,87.484,87.468,87.47,0,0
1510003500,87.47,87.472,87.458,87.468,0,0
1510003800,87.468,87.483,87.464,87.468,0,0
1510004100,87.468,87.472,87.462,87.466,0,0
1510004400,87.466,87.466,87.436,87.44,0,0
1510004700,87.44,87.448,87.44,87.444,0,0
1510005000,87.444,87.466,87.443,87.458,0,0
1510005300,87.458,87.462,87.452,87.455,0,0
1510005600,87.455,87.455,87.448,87.451,0,0
1510005900,87.451,87.464,87.449,87.458,0,0
1510006200,87.458,87.458,87.443,87.444,0,0
1510006500,87.444,87.48,87.445,87.478,0,0
1510006800,87.478,87.488,87.476,87.481,0,0
1510007100,87.481,87.484,87.454,87.466,0,0
1510007400,87.466,87.476,87.464,87.476,0,0
1510007700,87.476,87.505,87.475,87.488,0,0
1510008000,87.488,87.52,87.488,87.506,0,0
1510008300,87.506,87.512,87.49,87.492,0,0
1510008600,87.492,87.493,87.478,87.478,0,0
1510008900,87.478,87.48,87.46,87.46,0,0
1510009200,87.46,87.471,87.435,87.463,0,0
1510009500,87.463,87.481,87.452,87.469,0,0
1510009800,87.469,87.48,87.452,87.454,0,0
1510010100,87.454,87.456,87.432,87.452,0,0
1510010400,87.452,87.46,87.434,87.436,0,0
1510010700,87.436,87.436,87.42,87.424,0,0
1510011000,87.424,87.458,87.426,87.446,0,0
1510011300,87.446,87.469,87.446,87.454,0,0
1510011600,87.454,87.458,87.441,87.453,0,0
1510011900,87.453,87.47,87.446,87.467,0,0
1510012200,87.467,87.476,87.45,87.454,0,0
1510012500,87.454,87.458,87.446,87.454,0,0
1510012800,87.454,87.474,87.445,87.446,0,0
1510013100,87.446,87.469,87.44,87.448,0,0
1510013400,87.448,87.47,87.444,87.458,0,0
1510013700,87.458,87.48,87.456,87.472,0,0
1510014000,87.472,87.475,87.447,87.462,0,0
1510014300,87.462,87.462,87.44,87.454,0,0
1510014600,87.454,87.478,87.45,87.47,0,0
1510014900,87.47,87.488,87.47,87.482,0,0
1510015200,87.482,87.504,87.476,87.5,0,0
1510015500,87.5,87.51,87.492,87.5,0,0
1510015800,87.5,87.502,87.472,87.478,0,0
1510016100,87.478,87.516,87.476,87.508,0,0
1510016400,87.508,87.525,87.48,87.482,0,0
1510016700,87.482,87.502,87.452,87.472,0,0
1510017000,87.472,87.504,87.472,87.498,0,0
1510017300,87.498,87.539,87.49,87.522,0,0
1510017600,87.522,87.565,87.518,87.564,0,0
1510017900,87.564,87.573,87.541,87.556,0,0
1510018200,87.556,87.588,87.55,87.571,0,0
1510018500,87.571,87.574,87.548,87.57,0,0
1510018800,87.57,87.582,87.534,87.572,0,0
1510019100,87.572,87.572,87.534,87.55,0,0
1510019400,87.55,87.558,87.54,87.542,0,0
1510019700,87.542,87.576,87.534,87.576,0,0
1510020000,87.576,87.58,87.552,87.554,0,0
1510020300,87.554,87.594,87.542,87.576,0,0
1510020600,87.576,87.579,87.542,87.542,0,0
1510020900,87.542,87.544,87.522,87.53,0,0
1510021200,87.53,87.534,87.516,87.528,0,0
1510021500,87.528,87.53,87.51,87.513,0,0
1510021800,87.513,87.514,87.475,87.478,0,0
1510022100,87.478,87.509,87.478,87.489,0,0
1510022400,87.489,87.497,87.486,87.496,0,0
1510022700,87.496,87.518,87.49,87.506,0,0
1510023000,87.506,87.532,87.504,87.526,0,0
1510023300,87.526,87.528,87.49,87.498,0,0
1510023600,87.498,87.5,87.473,87.492,0,0
1510023900,87.492,87.502,87.489,87.501,0,0
1510024200,87.501,87.504,87.474,87.475,0,0
1510024500,87.475,87.475,87.457,87.462,0,0
1510024800,87.462,87.48,87.452,87.452,0,0
1510025100,87.452,87.474,87.445,87.472,0,0
1510025400,87.472,87.63,87.462,87.616,0,0
1510025700,87.616,87.616,87.569,87.608,0,0
1510026000,87.608,87.697,87.608,87.631,0,0
1510026300,87.631,87.63,87.588,87.614,0,0
1510026600,87.614,87.628,87.558,87.564,0,0
1510026900,87.564,87.594,87.558,87.578,0,0
1510027200,87.578,87.588,87.568,87.577,0,0
1510027500,87.577,87.581,87.56,87.573,0,0
1510027800,87.573,87.594,87.549,87.578,0,0
1510028100,87.578,87.584,87.568,87.576,0,0
1510028400,87.576,87.583,87.563,87.565,0,0
1510028700,87.565,87.576,87.534,87.566,0,0
1510029000,87.566,87.566,87.52,87.521,0,0
1510029300,87.521,87.563,87.522,87.552,0,0
1510029600,87.552,87.572,87.542,87.572,0,0
1510029900,87.572,87.572,87.547,87.551,0,0
1510030200,87.551,87.55,87.52,87.544,0,0
1510030500,87.544,87.552,87.52,87.542,0,0
1510030800,87.542,87.562,87.536,87.562,0,0
1510031100,87.562,87.58,87.558,87.571,0,0
1510031400,87.571,87.57,87.546,87.549,0,0
1510031700,87.549,87.551,87.522,87.528,0,0
1510032000,87.528,87.548,87.528,87.548,0,0
1510032300,87.548,87.564,87.538,87.54,0,0
1510032600,87.54,87.546,87.52,87.526,0,0
1510032900,87.526,87.55,87.524,87.531,0,0
1510033200,87.531,87.55,87.53,87.536,0,0
1510033500,87.536,87.543,87.53,87.534,0,0
1510033800,87.534,87.542,87.528,87.532,0,0
1510034100,87.532,87.549,87.524,87.542,0,0
1510034400,87.542,87.574,87.534,87.568,0,0
1510034700,87.568,87.576,87.55,87.557,0,0
1510035000,87.557,87.57,87.554,87.563,0,0
1510035300,87.563,87.574,87.551,87.565,0,0
1510035600,87.565,87.57,87.553,87.57,0,0
1510035900,87.57,87.574,87.548,87.548,0,0
1510036200,87.548,87.582,87.55,87.579,0,0
1510036500,87.579,87.609,87.578,87.609,0,0
1510036800,87.609,87.622,87.597,87.611,0,0
1510037100,87.611,87.62,87.572,87.581,0,0
1510037400,87.581,87.594,87.559,87.585,0,0
1510037700,87.585,87.63,87.578,87.62,0,0
1510038000,87.62,87.628,87.56,87.572,0,0
1510038300,87.572,87.575,87.54,87.544,0,0
1510038600,87.544,87.574,87.536,87.542,0,0
1510038900,87.542,87.552,87.518,87.536,0,0
1510039200,87.536,87.558,87.532,87.537,0,0
1510039500,87.537,87.556,87.53,87.553,0,0
1510039800,87.553,87.57,87.546,87.55,0,0
1510040100,87.55,87.552,87.52,87.523,0,0
1510040400,87.523,87.542,87.512,87.522,0,0
1510040700,87.522,87.523,87.483,87.498,0,0
1510041000,87.498,87.526,87.496,87.522,0,0
1510041300,87.522,87.557,87.513,87.534,0,0
1510041600,87.534,87.556,87.522,87.535,0,0
1510041900,87.535,87.552,87.524,87.53,0,0
1510042200,87.53,87.536,87.507,87.509,0,0
1510042500,87.509,87.52,87.484,87.49,0,0
1510042800,87.49,87.518,87.49,87.505,0,0
1510043100,87.505,87.522,87.476,87.476,0,0
1510043400,87.476,87.5,87.471,87.478,0,0
1510043700,87.478,87.511,87.472,87.492,0,0
1510044000,87.492,87.518,87.49,87.498,0,0
1510044300,87.498,87.507,87.486,87.493,0,0
1510044600,87.493,87.504,87.464,87.469,0,0
1510044900,87.469,87.513,87.466,87.487,0,0
1510045200,87.487,87.519,87.484,87.507,0,0
1510045500,87.507,87.546,87.502,87.544,0,0
1510045800,87.544,87.548,87.514,87.531,0,0
1510046100,87.531,87.554,87.528,87.528,0,0
1510046400,87.528,87.554,87.52,87.524,0,0
1510046700,87.524,87.538,87.502,87.506,0,0
1510047000,87.506,87.512,87.496,87.502,0,0
1510047300,87.502,87.512,87.481,87.482,0,0
1510047600,87.482,87.486,87.46,87.472,0,0
1510047900,87.472,87.494,87.464,87.476,0,0
1510048200,87.476,87.48,87.452,87.47,0,0
1510048500,87.47,87.494,87.469,87.488,0,0
1510048800,87.488,87.494,87.468,87.47,0,0
1510049100,87.47,87.488,87.46,87.482,0,0
1510049400,87.482,87.482,87.456,87.468,0,0
1510049700,87.468,87.506,87.47,87.502,0,0
1510050000,87.502,87.516,87.496,87.498,0,0
1510050300,87.498,87.503,87.468,87.497,0,0
1510050600,87.497,87.498,87.457,87.462,0,0
1510050900,87.462,87.484,87.46,87.476,0,0
1510051200,87.476,87.486,87.467,87.47,0,0
1510051500,87.47,87.476,87.446,87.458,0,0
1510051800,87.458,87.468,87.449,87.46,0,0
1510052100,87.46,87.466,87.444,87.452,0,0
1510052400,87.452,87.456,87.43,87.438,0,0
1510052700,87.438,87.442,87.41,87.418,0,0
1510053000,87.418,87.426,87.404,87.424,0,0
1510053300,87.424,87.437,87.423,87.434,0,0
1510053600,87.434,87.438,87.414,87.421,0,0
1510053900,87.421,87.426,87.386,87.39,0,0
1510054200,87.39,87.428,87.388,87.41,0,0
1510054500,87.41,87.418,87.396,87.41,0,0
1510054800,87.41,87.408,87.38,87.386,0,0
1510055100,87.386,87.413,87.357,87.412,0,0
1510055400,87.412,87.416,87.37,87.37,0,0
1510055700,87.37,87.382,87.348,87.348,0,0
1510056000,87.348,87.352,87.33,87.352,0,0
1510056300,87.352,87.355,87.315,87.322,0,0
1510056600,87.322,87.33,87.309,87.316,0,0
1510056900,87.316,87.317,87.293,87.301,0,0
1510057200,87.301,87.309,87.288,87.306,0,0
1510057500,87.306,87.317,87.294,87.316,0,0
1510057800,87.316,87.334,87.306,87.315,0,0
1510058100,87.315,87.348,87.292,87.348,0,0
1510058400,87.348,87.363,87.325,87.328,0,0
1510058700,87.328,87.352,87.324,87.33,0,0
1510059000,87.33,87.356,87.328,87.354,0,0
1510059300,87.354,87.362,87.345,87.358,0,0
1510059600,87.358,87.358,87.332,87.356,0,0
1510059900,87.356,87.378,87.355,87.37,0,0
1510060200,87.37,87.37,87.345,87.366,0,0
1510060500,87.366,87.368,87.342,87.365,0,0
1510060800,87.365,87.373,87.34,87.344,0,0
1510061100,87.344,87.356,87.328,87.336,0,0
1510061400,87.336,87.359,87.326,87.351,0,0
