time,open,high,low,close,"Pattern Alert",Volume
1499106600,0.76546,0.7654,0.7654,0.7654,0,0
1499106900,0.7654,0.76537,0.76534,0.76534,0,0
1499107200,0.76534,0.76539,0.76536,0.76536,0,0
1499107500,0.76536,0.76538,0.76534,0.76534,0,0
1499107800,0.76534,0.76529,0.76524,0.76524,0,0
1499108100,0.76524,0.76527,0.76521,0.76524,0,0
1499108400,0.76524,0.7653,0.76526,0.76526,0,0
1499108700,0.76526,0.76526,0.76522,0.76526,0,0
1499109000,0.76526,0.76526,0.76526,0.76526,0,0
1499109300,0.76526,0.76524,0.76518,0.76522,0,0
1499109600,0.76522,0.76524,0.76518,0.76524,0,0
1499109900,0.76524,0.7653,0.76523,0.76523,0,0
1499110200,0.76523,0.76566,0.76524,0.76566,0,0
1499110500,0.76566,0.76579,0.76562,0.76579,0,0
1499110800,0.76579,0.76602,0.76583,0.76602,0,0
1499111100,0.76602,0.76608,0.76603,0.76603,0,0
1499111400,0.76603,0.7661,0.76599,0.76605,0,0
1499111700,0.76605,0.7663,0.7661,0.76625,0,0
1499112000,0.76625,0.76623,0.76599,0.76603,0,0
1499112300,0.76603,0.76603,0.76603,0.76603,0,0
1499112600,0.76603,0.76598,0.76598,0.76598,0,0
1499112900,0.76598,0.76602,0.76599,0.76602,0,0
1499113200,0.76602,0.76597,0.76582,0.76597,0,0
1499113500,0.76597,0.76604,0.76576,0.76588,0,0
1499113800,0.76588,0.76591,0.76582,0.76588,0,0
1499114100,0.76588,0.76588,0.76588,0.76588,0,0
1499114400,0.76588,0.76584,0.76578,0.76578,0,0
1499114700,0.76578,0.76578,0.76565,0.76566,0,0
1499115000,0.76566,0.76573,0.7657,0.76573,0,0
1499115300,0.76573,0.76618,0.76578,0.76607,0,0
1499115600,0.76607,0.76607,0.76607,0.76607,0,0
1499115900,0.76607,0.76601,0.76582,0.76582,0,0
1499116200,0.76582,0.76583,0.7658,0.76582,0,0
1499116500,0.76582,0.76581,0.76574,0.76574,0,0
1499116800,0.76574,0.76588,0.76565,0.76578,0,0
1499117100,0.76578,0.76579,0.76573,0.76573,0,0
1499117400,0.76573,0.7658,0.76572,0.76572,0,0
1499117700,0.76572,0.76571,0.76552,0.76556,0,0
1499118000,0.76556,0.76549,0.76548,0.76549,0,0
1499118300,0.76549,0.76554,0.76548,0.76554,0,0
1499118600,0.76554,0.7655,0.7654,0.7654,0,0
1499118900,0.7654,0.76548,0.7652,0.76546,0,0
1499119200,0.76546,0.76607,0.76547,0.76582,0,0
1499119500,0.76582,0.76592,0.76582,0.7659,0,0
1499119800,0.7659,0.76593,0.76581,0.76593,0,0
1499120100,0.76593,0.766,0.76594,0.76594,0,0
1499120400,0.76594,0.76594,0.76592,0.76592,0,0
1499120700,0.76592,0.76594,0.76576,0.76578,0,0
1499121000,0.76578,0.76585,0.76578,0.76584,0,0
1499121300,0.76584,0.7661,0.76576,0.76609,0,0
1499121600,0.76609,0.76606,0.76606,0.76606,0,0
1499121900,0.76606,0.76609,0.76582,0.76584,0,0
