time,open,high,low,close,"Pattern Alert",Volume
1502735400,86.239,86.239,86.204,86.222,0,0
1502735700,86.222,86.232,86.213,86.229,0,0
1502736000,86.229,86.243,86.222,86.227,0,0
1502736300,86.227,86.23,86.191,86.191,0,0
1502736600,86.191,86.198,86.162,86.182,0,0
1502736900,86.182,86.224,86.178,86.208,0,0
1502737200,86.208,86.22,86.182,86.202,0,0
1502737500,86.202,86.212,86.181,86.196,0,0
1502737800,86.196,86.211,86.188,86.201,0,0
1502738100,86.201,86.227,86.193,86.222,0,0
1502738400,86.222,86.254,86.215,86.243,0,0
1502738700,86.243,86.278,86.241,86.258,0,0
1502739000,86.258,86.262,86.226,86.238,0,0
1502739300,86.238,86.238,86.219,86.233,0,0
1502739600,86.233,86.236,86.214,86.217,0,0
1502739900,86.217,86.221,86.2,86.2,0,0
1502740200,86.2,86.228,86.18,86.206,0,0
1502740500,86.206,86.217,86.168,86.17,0,0
1502740800,86.17,86.186,86.162,86.173,0,0
1502741100,86.173,86.174,86.162,86.162,0,0
1502741400,86.162,86.166,86.142,86.158,0,0
1502741700,86.158,86.179,86.161,86.164,0,0
1502742000,86.164,86.178,86.152,86.176,0,0
1502742300,86.176,86.201,86.177,86.189,0,0
1502742600,86.189,86.233,86.187,86.226,0,0
1502742900,86.226,86.232,86.213,86.218,0,0
1502743200,86.218,86.218,86.2,86.204,0,0
1502743500,86.204,86.204,86.18,86.188,0,0
1502743800,86.188,86.186,86.168,86.177,0,0
1502744100,86.177,86.192,86.172,86.172,0,0
1502744400,86.172,86.185,86.167,86.176,0,0
1502744700,86.176,86.192,86.17,86.176,0,0
1502745000,86.176,86.198,86.176,86.196,0,0
1502745300,86.196,86.196,86.164,86.178,0,0
1502745600,86.178,86.178,86.163,86.168,0,0
1502745900,86.168,86.168,86.164,86.166,0,0
1502746200,86.166,86.166,86.149,86.156,0,0
1502746500,86.156,86.174,86.158,86.165,0,0
1502746800,86.165,86.169,86.157,86.162,0,0
1502747100,86.162,86.163,86.157,86.158,0,0
1502747400,86.158,86.164,86.149,86.15,0,0
1502747700,86.15,86.158,86.15,86.151,0,0
1502748000,86.151,86.174,86.15,86.164,0,0
1502748300,86.164,86.186,86.162,86.17,0,0
1502748600,86.17,86.204,86.166,86.178,0,0
1502748900,86.178,86.178,86.162,86.174,0,0
1502749200,86.174,86.206,86.174,86.198,0,0
1502749500,86.198,86.222,86.193,86.22,0,0
1502749800,86.22,86.218,86.197,86.197,0,0
1502750100,86.197,86.218,86.194,86.214,0,0
1502750400,86.214,86.234,86.214,86.219,0,0
1502750700,86.219,86.242,86.219,86.239,0,0
1502751000,86.239,86.249,86.232,86.246,0,0
1502751300,86.246,86.254,86.24,86.246,0,0
1502751600,86.246,86.244,86.22,86.224,0,0
1502751900,86.224,86.224,86.21,86.216,0,0
1502752200,86.216,86.224,86.204,86.208,0,0
1502752500,86.208,86.227,86.208,86.214,0,0
1502752800,86.214,86.23,86.213,86.23,0,0
1502753100,86.23,86.244,86.23,86.24,0,0
1502753400,86.24,86.37,86.241,86.354,0,0
1502753700,86.354,86.356,86.334,86.346,0,0
1502754000,86.346,86.356,86.332,86.354,0,0
1502754300,86.354,86.376,86.33,86.344,0,0
1502754600,86.344,86.356,86.333,86.336,0,0
1502754900,86.336,86.383,86.336,86.364,0,0
1502755200,86.364,86.404,86.35,86.4,0,0
1502755500,86.4,86.428,86.376,86.394,0,0
1502755800,86.394,86.429,86.383,86.414,0,0
1502756100,86.414,86.458,86.417,86.446,0,0
1502756400,86.446,86.473,86.438,86.457,0,0
1502756700,86.457,86.536,86.452,86.511,0,0
1502757000,86.511,86.53,86.5,86.52,0,0
1502757300,86.52,86.539,86.514,86.538,0,0
1502757600,86.538,86.56,86.526,86.534,0,0
1502757900,86.534,86.539,86.511,86.526,0,0
1502758200,86.526,86.566,86.52,86.562,0,0
1502758500,86.562,86.579,86.536,86.54,0,0
1502758800,86.54,86.578,86.526,86.527,0,0
1502759100,86.527,86.584,86.526,86.581,0,0
1502759400,86.581,86.597,86.558,86.594,0,0
1502759700,86.594,86.596,86.564,86.57,0,0
1502760000,86.57,86.586,86.56,86.562,0,0
1502760300,86.562,86.564,86.542,86.551,0,0
1502760600,86.551,86.574,86.546,86.562,0,0
1502760900,86.562,86.61,86.556,86.6,0,0
1502761200,86.6,86.628,86.59,86.623,0,0
1502761500,86.623,86.622,86.602,86.604,0,0
1502761800,86.604,86.614,86.58,86.594,0,0
1502762100,86.594,86.596,86.572,86.586,0,0
1502762400,86.586,86.592,86.578,86.582,0,0
1502762700,86.582,86.594,86.575,86.59,0,0
1502763000,86.59,86.641,86.589,86.641,0,0
1502763300,86.641,86.641,86.598,86.599,0,0
1502763600,86.599,86.61,86.588,86.599,0,0
1502763900,86.599,86.598,86.563,86.583,0,0
1502764200,86.583,86.594,86.582,86.59,0,0
1502764500,86.59,86.593,86.576,86.593,0,0
1502764800,86.593,86.605,86.586,86.588,0,0
1502765100,86.588,86.594,86.578,86.586,0,0
1502765400,86.586,86.599,86.572,86.574,0,0
1502765700,86.574,86.592,86.566,86.588,0,0
1502766000,86.588,86.594,86.556,86.578,0,0
1502766300,86.578,86.59,86.575,86.578,0,0
1502766600,86.578,86.594,86.577,86.586,0,0
1502766900,86.586,86.594,86.58,86.584,0,0
1502767200,86.584,86.586,86.569,86.572,0,0
1502767500,86.572,86.582,86.57,86.58,0,0
1502767800,86.58,86.584,86.568,86.582,0,0
1502768100,86.582,86.581,86.556,86.56,0,0
1502768400,86.56,86.57,86.555,86.57,0,0
1502768700,86.57,86.584,86.564,86.582,0,0
1502769000,86.582,86.59,86.578,86.584,0,0
1502769300,86.584,86.596,86.572,86.585,0,0
1502769600,86.585,86.616,86.584,86.614,0,0
1502769900,86.614,86.616,86.594,86.599,0,0
1502770200,86.599,86.613,86.599,86.612,0,0
1502770500,86.612,86.648,86.612,86.648,0,0
1502770800,86.648,86.65,86.64,86.642,0,0
1502771100,86.642,86.646,86.616,86.622,0,0
1502771400,86.622,86.646,86.618,86.628,0,0
1502771700,86.628,86.634,86.624,86.628,0,0
1502772000,86.628,86.628,86.62,86.62,0,0
1502772300,86.62,86.632,86.62,86.624,0,0
1502772600,86.624,86.624,86.606,86.608,0,0
1502772900,86.608,86.624,86.602,86.616,0,0
1502773200,86.616,86.62,86.586,86.601,0,0
1502773500,86.601,86.614,86.591,86.601,0,0
1502773800,86.601,86.607,86.594,86.607,0,0
1502774100,86.607,86.612,86.6,86.602,0,0
1502774400,86.602,86.618,86.601,86.613,0,0
1502774700,86.613,86.622,86.609,86.616,0,0
1502775000,86.616,86.728,86.616,86.713,0,0
1502775300,86.713,86.724,86.71,86.72,0,0
1502775600,86.72,86.756,86.702,86.713,0,0
1502775900,86.713,86.72,86.692,86.692,0,0
1502776200,86.692,86.7,86.67,86.683,0,0
1502776500,86.683,86.69,86.666,86.688,0,0
1502776800,86.688,86.699,86.66,86.666,0,0
1502777100,86.666,86.673,86.646,86.67,0,0
1502777400,86.67,86.672,86.627,86.635,0,0
1502777700,86.635,86.649,86.63,86.639,0,0
1502778000,86.639,86.65,86.626,86.636,0,0
1502778300,86.636,86.651,86.629,86.64,0,0
1502778600,86.64,86.649,86.62,86.639,0,0
1502778900,86.639,86.639,86.603,86.62,0,0
1502779200,86.62,86.656,86.615,86.646,0,0
1502779500,86.646,86.646,86.592,86.596,0,0
1502779800,86.596,86.626,86.588,86.614,0,0
1502780100,86.614,86.644,86.612,86.632,0,0
1502780400,86.632,86.634,86.593,86.618,0,0
1502780700,86.618,86.644,86.595,86.635,0,0
1502781000,86.635,86.638,86.605,86.627,0,0
1502781300,86.627,86.646,86.596,86.598,0,0
1502781600,86.598,86.62,86.588,86.62,0,0
1502781900,86.62,86.622,86.596,86.606,0,0
1502782200,86.606,86.652,86.605,86.652,0,0
1502782500,86.652,86.65,86.572,86.58,0,0
1502782800,86.58,86.618,86.578,86.618,0,0
1502783100,86.618,86.62,86.546,86.566,0,0
1502783400,86.566,86.572,86.547,86.568,0,0
1502783700,86.568,86.585,86.542,86.57,0,0
1502784000,86.57,86.586,86.524,86.559,0,0
1502784300,86.559,86.622,86.548,86.598,0,0
1502784600,86.598,86.618,86.578,86.592,0,0
1502784900,86.592,86.611,86.59,86.604,0,0
1502785200,86.604,86.669,86.598,86.666,0,0
1502785500,86.666,86.692,86.665,86.684,0,0
1502785800,86.684,86.682,86.615,86.634,0,0
1502786100,86.634,86.658,86.628,86.655,0,0
1502786400,86.655,86.719,86.652,86.712,0,0
1502786700,86.712,86.721,86.698,86.72,0,0
1502787000,86.72,86.724,86.68,86.685,0,0
1502787300,86.685,86.694,86.67,86.686,0,0
1502787600,86.686,86.743,86.678,86.742,0,0
1502787900,86.742,86.758,86.726,86.726,0,0
1502788200,86.726,86.762,86.724,86.75,0,0
1502788500,86.75,86.748,86.728,86.736,0,0
1502788800,86.736,86.766,86.736,86.762,0,0
1502789100,86.762,86.762,86.74,86.75,0,0
1502789400,86.75,86.754,86.743,86.743,0,0
1502789700,86.743,86.758,86.743,86.753,0,0
1502790000,86.753,86.75,86.734,86.747,0,0
1502790300,86.747,86.758,86.724,86.725,0,0
1502790600,86.725,86.729,86.708,86.708,0,0
1502790900,86.708,86.716,86.654,86.661,0,0
1502791200,86.661,86.696,86.656,86.68,0,0
1502791500,86.68,86.729,86.68,86.716,0,0
1502791800,86.716,86.72,86.684,86.694,0,0
1502792100,86.694,86.696,86.664,86.679,0,0
1502792400,86.679,86.687,86.612,86.613,0,0
1502792700,86.613,86.618,86.591,86.616,0,0
1502793000,86.616,86.636,86.606,86.628,0,0
1502793300,86.628,86.667,86.623,86.657,0,0
1502793600,86.657,86.662,86.638,86.651,0,0
1502793900,86.651,86.657,86.639,86.646,0,0
1502794200,86.646,86.676,86.638,86.672,0,0
1502794500,86.672,86.678,86.634,86.67,0,0
1502794800,86.67,86.688,86.66,86.675,0,0
1502795100,86.675,86.677,86.652,86.652,0,0
1502795400,86.652,86.678,86.65,86.67,0,0
1502795700,86.67,86.67,86.641,86.644,0,0
1502796000,86.644,86.648,86.628,86.635,0,0
1502796300,86.635,86.668,86.632,86.668,0,0
1502796600,86.668,86.672,86.653,86.663,0,0
1502796900,86.663,86.664,86.632,86.64,0,0
1502797200,86.64,86.72,86.636,86.705,0,0
1502797500,86.705,86.725,86.696,86.704,0,0
1502797800,86.704,86.709,86.681,86.688,0,0
1502798100,86.688,86.686,86.66,86.676,0,0
1502798400,86.676,86.703,86.64,86.648,0,0
1502798700,86.648,86.67,86.643,86.65,0,0
1502799000,86.65,86.685,86.628,86.676,0,0
1502799300,86.676,86.687,86.642,86.656,0,0
1502799600,86.656,86.664,86.632,86.664,0,0
1502799900,86.664,86.697,86.636,86.682,0,0
1502800200,86.682,86.759,86.658,86.664,0,0
1502800500,86.664,86.694,86.639,86.656,0,0
1502800800,86.656,86.767,86.652,86.756,0,0
1502801100,86.756,86.789,86.746,86.774,0,0
1502801400,86.774,86.822,86.761,86.81,0,0
1502801700,86.81,86.834,86.782,86.817,0,0
1502802000,86.817,86.87,86.812,86.854,0,0
1502802300,86.854,86.862,86.822,86.836,0,0
1502802600,86.836,86.872,86.821,86.83,0,0
1502802900,86.83,86.854,86.814,86.843,1,0
1502803200,86.843,86.848,86.803,86.806,0,0
1502803500,86.806,86.814,86.756,86.759,0,0
1502803800,86.759,86.806,86.738,86.805,0,0
1502804100,86.805,86.82,86.786,86.818,0,0
1502804400,86.818,86.825,86.74,86.74,0,0
1502804700,86.74,86.775,86.73,86.752,0,0
1502805000,86.752,86.811,86.738,86.794,0,0
1502805300,86.794,86.834,86.792,86.833,0,0
1502805600,86.833,86.845,86.753,86.79,0,0
1502805900,86.79,86.798,86.716,86.723,0,0
1502806200,86.723,86.74,86.702,86.716,0,0
1502806500,86.716,86.75,86.697,86.742,0,0
1502806800,86.742,86.762,86.66,86.684,0,0
1502807100,86.684,86.736,86.684,86.729,0,0
1502807400,86.729,86.732,86.66,86.709,0,0
1502807700,86.709,86.714,86.657,86.7,0,0
1502808000,86.7,86.72,86.67,86.694,0,0
1502808300,86.694,86.71,86.642,86.649,0,0
1502808600,86.649,86.686,86.644,86.658,0,0
1502808900,86.658,86.688,86.644,86.661,0,0
1502809200,86.661,86.676,86.608,86.615,-1,0
1502809500,86.615,86.643,86.6,86.603,0,0
1502809800,86.603,86.63,86.591,86.618,0,0
1502810100,86.618,86.638,86.568,86.576,0,0
1502810400,86.576,86.629,86.569,86.602,0,0
1502810700,86.602,86.622,86.592,86.602,0,0
1502811000,86.602,86.615,86.581,86.614,0,0
1502811300,86.614,86.631,86.594,86.61,0,0
1502811600,86.61,86.616,86.588,86.6,0,0
1502811900,86.6,86.625,86.596,86.61,0,0
1502812200,86.61,86.623,86.602,86.622,0,0
1502812500,86.622,86.656,86.624,86.649,0,0
1502812800,86.649,86.66,86.625,86.632,0,0
1502813100,86.632,86.686,86.63,86.648,0,0
1502813400,86.648,86.666,86.62,86.664,0,0
1502813700,86.664,86.7,86.658,86.684,0,0
1502814000,86.684,86.694,86.645,86.652,0,0
1502814300,86.652,86.653,86.628,86.636,0,0
1502814600,86.636,86.64,86.596,86.597,0,0
1502814900,86.597,86.605,86.582,86.583,0,0
1502815200,86.583,86.6,86.572,86.592,0,0
