time,open,high,low,close,"Pattern Alert",Volume
1509561000,113.81,113.81,113.762,113.782,0,0
1509561300,113.782,113.836,113.776,113.809,0,0
1509561600,113.809,113.848,113.796,113.84,0,0
1509561900,113.84,113.864,113.835,113.86,0,0
1509562200,113.86,113.872,113.848,113.855,0,0
1509562500,113.855,113.878,113.844,113.858,0,0
1509562800,113.858,113.868,113.843,113.867,0,0
1509563100,113.867,113.89,113.848,113.876,0,0
1509563400,113.876,113.878,113.851,113.854,0,0
1509563700,113.854,113.883,113.845,113.846,0,0
1509564000,113.846,113.85,113.79,113.796,0,0
1509564300,113.796,113.816,113.782,113.784,0,0
1509564600,113.784,113.798,113.766,113.773,0,0
1509564900,113.773,113.784,113.765,113.766,0,0
1509565200,113.766,113.78,113.743,113.743,0,0
1509565500,113.743,113.752,113.726,113.74,0,0
1509565800,113.74,113.748,113.728,113.748,0,0
1509566100,113.748,113.758,113.734,113.74,0,0
1509566400,113.74,113.768,113.742,113.758,0,0
1509566700,113.758,113.797,113.753,113.797,0,0
1509567000,113.797,113.8,113.788,113.798,0,0
1509567300,113.798,113.802,113.794,113.797,0,0
1509567600,113.797,113.798,113.789,113.789,0,0
1509567900,113.789,113.798,113.782,113.784,0,0
1509568200,113.784,113.794,113.718,113.786,0,0
1509568500,113.786,113.799,113.766,113.79,0,0
1509568800,113.79,113.834,113.787,113.805,0,0
1509569100,113.805,113.812,113.791,113.798,0,0
1509569400,113.798,113.834,113.791,113.795,0,0
1509569700,113.795,113.828,113.788,113.824,0,0
1509570000,113.824,113.841,113.808,113.83,0,0
1509570300,113.83,113.831,113.816,113.822,0,0
1509570600,113.822,113.823,113.804,113.818,0,0
1509570900,113.818,113.827,113.811,113.816,0,0
1509571200,113.816,113.856,113.808,113.856,0,0
1509571500,113.856,113.857,113.844,113.844,0,0
1509571800,113.844,113.846,113.834,113.836,0,0
1509572100,113.836,113.846,113.818,113.832,0,0
1509572400,113.832,113.848,113.818,113.823,0,0
1509572700,113.823,113.834,113.816,113.822,0,0
1509573000,113.822,113.828,113.818,113.822,0,0
1509573300,113.822,113.845,113.812,113.816,0,0
1509573600,113.816,113.84,113.814,113.82,0,0
1509573900,113.82,113.853,113.816,113.844,0,0
1509574200,113.844,113.86,113.832,113.832,0,0
1509574500,113.832,113.833,113.794,113.8,0,0
1509574800,113.8,113.826,113.801,113.82,0,0
1509575100,113.82,113.821,113.806,113.811,0,0
1509575400,113.811,113.838,113.81,113.834,0,0
1509575700,113.834,113.836,113.796,113.802,0,0
1509576000,113.802,113.818,113.8,113.807,0,0
1509576300,113.807,113.825,113.8,113.819,0,0
1509576600,113.819,113.828,113.81,113.822,0,0
1509576900,113.822,113.85,113.817,113.848,0,0
1509577200,113.848,113.848,113.832,113.838,0,0
1509577500,113.838,113.848,113.823,113.824,0,0
1509577800,113.824,113.838,113.822,113.828,0,0
1509578100,113.828,113.842,113.824,113.828,0,0
1509578400,113.828,113.839,113.828,113.836,0,0
1509578700,113.836,113.844,113.836,113.844,0,0
1509579000,113.844,113.871,113.836,113.86,0,0
1509579300,113.86,113.87,113.842,113.87,0,0
1509579600,113.87,113.876,113.856,113.856,0,0
1509579900,113.856,113.894,113.853,113.882,0,0
1509580200,113.882,113.904,113.88,113.892,0,0
1509580500,113.892,113.892,113.867,113.886,0,0
1509580800,113.886,113.948,113.884,113.918,0,0
1509581100,113.918,113.918,113.883,113.912,0,0
1509581400,113.912,113.916,113.862,113.87,0,0
1509581700,113.87,113.871,113.774,113.789,0,0
1509582000,113.789,113.806,113.786,113.788,0,0
1509582300,113.788,113.819,113.779,113.796,0,0
1509582600,113.796,113.831,113.796,113.828,0,0
1509582900,113.828,113.848,113.776,113.792,0,0
1509583200,113.792,113.804,113.77,113.792,0,0
1509583500,113.792,113.802,113.756,113.789,0,0
1509583800,113.789,113.842,113.772,113.828,0,0
1509584100,113.828,113.85,113.815,113.82,0,0
1509584400,113.82,113.838,113.816,113.818,0,0
1509584700,113.818,113.846,113.814,113.832,0,0
1509585000,113.832,113.858,113.815,113.847,0,0
1509585300,113.847,113.852,113.804,113.816,0,0
1509585600,113.816,113.84,113.809,113.831,0,0
1509585900,113.831,113.87,113.806,113.854,0,0
1509586200,113.854,113.856,113.82,113.847,0,0
1509586500,113.847,113.862,113.828,113.852,0,0
1509586800,113.852,113.896,113.82,113.886,0,0
1509587100,113.886,113.936,113.855,113.928,0,0
1509587400,113.928,113.952,113.91,113.926,0,0
1509587700,113.926,113.948,113.917,113.931,0,0
1509588000,113.931,113.978,113.922,113.964,0,0
1509588300,113.964,113.98,113.96,113.965,0,0
1509588600,113.965,113.998,113.964,113.988,0,0
1509588900,113.988,113.987,113.94,113.944,0,0
1509589200,113.944,113.959,113.934,113.952,0,0
1509589500,113.952,113.968,113.942,113.956,0,0
1509589800,113.956,113.971,113.944,113.968,0,0
1509590100,113.968,113.972,113.95,113.96,0,0
1509590400,113.96,113.959,113.92,113.938,0,0
1509590700,113.938,113.978,113.928,113.944,0,0
1509591000,113.944,113.994,113.945,113.956,0,0
1509591300,113.956,113.994,113.948,113.958,0,0
1509591600,113.958,114.008,113.958,113.984,0,0
1509591900,113.984,114.01,113.964,113.978,0,0
1509592200,113.978,113.984,113.94,113.954,0,0
1509592500,113.954,113.984,113.954,113.972,0,0
1509592800,113.972,113.989,113.964,113.979,0,0
1509593100,113.979,113.986,113.958,113.964,0,0
1509593400,113.964,113.968,113.948,113.962,0,0
1509593700,113.962,113.988,113.94,113.986,0,0
1509594000,113.986,114.001,113.969,113.976,0,0
1509594300,113.976,113.98,113.962,113.972,0,0
1509594600,113.972,113.982,113.966,113.982,0,0
1509594900,113.982,113.992,113.964,113.976,0,0
1509595200,113.976,113.992,113.966,113.98,0,0
1509595500,113.98,113.996,113.975,113.996,0,0
1509595800,113.996,114.005,113.982,114.002,0,0
1509596100,114.002,114.015,114,114.008,0,0
1509596400,114.008,114.018,113.998,114.002,0,0
1509596700,114.002,114.003,113.991,113.992,0,0
1509597000,113.992,114.004,113.986,113.994,0,0
1509597300,113.994,114.013,113.996,114.01,0,0
1509597600,114.01,114.022,113.998,114.019,0,0
1509597900,114.019,114.033,113.99,113.998,0,0
1509598200,113.998,114.016,113.998,114.007,0,0
1509598500,114.007,114.007,113.99,113.992,0,0
1509598800,113.992,114.011,113.984,114.01,0,0
1509599100,114.01,114.022,114.006,114.011,0,0
1509599400,114.011,114.046,114.012,114.028,0,0
1509599700,114.028,114.047,114.028,114.036,0,0
1509600000,114.036,114.041,114.01,114.018,0,0
1509600300,114.018,114.037,114.013,114.03,0,0
1509600600,114.03,114.039,114.013,114.019,0,0
1509600900,114.019,114.036,114.014,114.016,0,0
1509601200,114.016,114.045,114.016,114.032,0,0
1509601500,114.032,114.039,114.016,114.018,0,0
1509601800,114.018,114.028,114.004,114.014,0,0
1509602100,114.014,114.019,113.998,114.019,0,0
1509602400,114.019,114.022,113.998,114,0,0
1509602700,114,114.026,113.996,114.006,0,0
1509603000,114.006,114.006,113.955,113.96,0,0
1509603300,113.96,113.98,113.926,113.98,0,0
1509603600,113.98,113.98,113.961,113.964,0,0
1509603900,113.964,113.994,113.958,113.975,0,0
1509604200,113.975,114.018,113.974,114.01,0,0
1509604500,114.01,114.031,113.992,113.996,0,0
1509604800,113.996,114.012,113.986,114.008,0,0
1509605100,114.008,114.018,113.996,114.014,0,0
1509605400,114.014,114.015,113.987,113.987,0,0
1509605700,113.987,114.008,113.98,114.007,0,0
1509606000,114.007,114.03,114,114.01,0,0
1509606300,114.01,114.018,113.998,114.003,0,0
1509606600,114.003,114.022,113.998,114.014,0,0
1509606900,114.014,114.035,114,114.014,0,0
1509607200,114.014,114.044,114.009,114.038,0,0
1509607500,114.038,114.056,114.03,114.041,0,0
1509607800,114.041,114.058,114.03,114.036,0,0
1509608100,114.036,114.055,114.024,114.03,0,0
1509608400,114.03,114.04,114.016,114.022,0,0
1509608700,114.022,114.054,114.022,114.046,0,0
1509609000,114.046,114.075,114.048,114.071,0,0
1509609300,114.071,114.092,114.06,114.082,0,0
1509609600,114.082,114.111,114.06,114.098,0,0
1509609900,114.098,114.127,114.083,114.125,0,0
1509610200,114.125,114.136,114.114,114.13,0,0
1509610500,114.13,114.162,114.112,114.116,0,0
1509610800,114.116,114.138,114.102,114.134,0,0
1509611100,114.134,114.18,114.138,114.15,0,0
1509611400,114.15,114.157,114.134,114.148,0,0
1509611700,114.148,114.166,114.136,114.166,0,0
1509612000,114.166,114.184,114.14,114.148,0,0
1509612300,114.148,114.172,114.134,114.141,0,0
1509612600,114.141,114.163,114.098,114.108,0,0
1509612900,114.108,114.118,114.072,114.074,0,0
1509613200,114.074,114.09,114.048,114.064,0,0
1509613500,114.064,114.066,114.035,114.04,0,0
