time,open,high,low,close,"Pattern Alert",Volume
1500843600,1.46297,1.46332,1.46297,1.46332,0,0
1500843900,1.46332,1.46349,1.46291,1.46291,0,0
1500844200,1.46291,1.46299,1.4629,1.4629,0,0
1500844500,1.4629,1.46318,1.46298,1.46315,0,0
1500844800,1.46315,1.46328,1.46306,1.4632,0,0
1500845100,1.4632,1.46332,1.46302,1.46332,0,0
1500845400,1.46332,1.46362,1.46334,1.46357,0,0
1500845700,1.46357,1.46361,1.46349,1.46354,0,0
1500846000,1.46354,1.46354,1.46342,1.46342,0,0
1500846300,1.46342,1.46349,1.4634,1.46342,0,0
1500846600,1.46342,1.46383,1.4634,1.4634,0,0
1500846900,1.4634,1.46372,1.46314,1.46314,0,0
1500847200,1.46314,1.46318,1.4629,1.46295,0,0
1500847500,1.46295,1.46342,1.4629,1.46342,0,0
1500847800,1.46342,1.46342,1.46302,1.46312,0,0
1500848100,1.46312,1.4636,1.4631,1.46358,0,0
1500848400,1.46358,1.46388,1.4634,1.4635,0,0
1500848700,1.4635,1.46395,1.46348,1.46386,0,0
1500849000,1.46386,1.46425,1.46384,1.4641,0,0
1500849300,1.4641,1.46417,1.46396,1.46396,0,0
1500849600,1.46396,1.464,1.46378,1.464,0,0
1500849900,1.464,1.464,1.46377,1.46378,0,0
1500850200,1.46378,1.46382,1.46359,1.46375,0,0
1500850500,1.46375,1.4641,1.46367,1.46382,0,0
1500850800,1.46382,1.46418,1.46371,1.46417,0,0
1500851100,1.46417,1.46423,1.46376,1.46386,0,0
1500851400,1.46386,1.4642,1.46388,1.46409,0,0
1500851700,1.46409,1.46414,1.46408,1.46411,0,0
1500852000,1.46411,1.46414,1.46402,1.46406,0,0
1500852300,1.46406,1.46418,1.46388,1.46401,0,0
1500852600,1.46401,1.46442,1.46396,1.46422,0,0
1500852900,1.46422,1.46421,1.46384,1.46387,0,0
1500853200,1.46387,1.46394,1.4637,1.46382,0,0
1500853500,1.46382,1.46417,1.4638,1.46408,0,0
1500853800,1.46408,1.46422,1.46402,1.46419,0,0
1500854100,1.46419,1.4643,1.46396,1.46408,0,0
1500854400,1.46408,1.46435,1.46358,1.46375,0,0
1500854700,1.46375,1.46428,1.46361,1.46392,0,0
1500855000,1.46392,1.46432,1.46388,1.46431,0,0
1500855300,1.46431,1.46434,1.46379,1.46402,0,0
1500855600,1.46402,1.46435,1.46397,1.46431,0,0
1500855900,1.46431,1.46475,1.46431,1.46441,0,0
1500856200,1.46441,1.46465,1.46434,1.46444,0,0
1500856500,1.46444,1.46468,1.46428,1.46432,0,0
1500856800,1.46432,1.46456,1.46428,1.46452,0,0
1500857100,1.46452,1.4646,1.46422,1.46424,0,0
1500857400,1.46424,1.46428,1.4637,1.46384,0,0
1500857700,1.46384,1.46422,1.46372,1.46422,0,0
1500858000,1.46422,1.4642,1.46368,1.46374,0,0
1500858300,1.46374,1.46394,1.46368,1.46376,0,0
1500858600,1.46376,1.46396,1.46352,1.46372,0,0
1500858900,1.46372,1.464,1.4636,1.46392,0,0
1500859200,1.46392,1.46424,1.46392,1.4641,0,0
1500859500,1.4641,1.4642,1.46407,1.4642,0,0
1500859800,1.4642,1.46438,1.46415,1.4643,0,0
1500860100,1.4643,1.46439,1.46418,1.4642,0,0
1500860400,1.4642,1.46427,1.4641,1.46416,0,0
1500860700,1.46416,1.4644,1.46416,1.46428,0,0
1500861000,1.46428,1.46447,1.46424,1.46424,0,0
1500861300,1.46424,1.46426,1.46407,1.46412,0,0
1500861600,1.46412,1.4644,1.4641,1.46434,0,0
1500861900,1.46434,1.46435,1.46408,1.46414,0,0
1500862200,1.46414,1.46451,1.46397,1.46401,0,0
1500862500,1.46401,1.46413,1.46392,1.46412,0,0
1500862800,1.46412,1.46418,1.46404,1.46407,0,0
1500863100,1.46407,1.46414,1.464,1.464,0,0
1500863400,1.464,1.46422,1.46403,1.46422,0,0
1500863700,1.46422,1.46434,1.46408,1.4641,0,0
1500864000,1.4641,1.46428,1.46382,1.46394,0,0
1500864300,1.46394,1.46394,1.46376,1.46388,0,0
1500864600,1.46388,1.46392,1.4638,1.46386,0,0
1500864900,1.46386,1.46388,1.46361,1.46364,0,0
1500865200,1.46364,1.46398,1.46361,1.4639,0,0
1500865500,1.4639,1.46402,1.46385,1.46386,0,0
1500865800,1.46386,1.46391,1.46361,1.46361,0,0
1500866100,1.46361,1.46396,1.4636,1.46394,0,0
1500866400,1.46394,1.46418,1.46386,1.4641,0,0
1500866700,1.4641,1.4642,1.46402,1.46417,0,0
1500867000,1.46417,1.46424,1.46406,1.46424,0,0
1500867300,1.46424,1.4643,1.46406,1.46415,0,0
1500867600,1.46415,1.46416,1.46388,1.46414,0,0
1500867900,1.46414,1.46413,1.4638,1.46388,0,0
1500868200,1.46388,1.464,1.46381,1.4639,0,0
1500868500,1.4639,1.46404,1.4639,1.46398,0,0
1500868800,1.46398,1.46402,1.46389,1.46395,0,0
1500869100,1.46395,1.46399,1.46376,1.46392,0,0
1500869400,1.46392,1.46392,1.46378,1.4638,0,0
1500869700,1.4638,1.46388,1.46372,1.46378,0,0
1500870000,1.46378,1.46392,1.46378,1.46378,0,0
1500870300,1.46378,1.46394,1.46369,1.4637,0,0
1500870600,1.4637,1.4638,1.46344,1.46347,0,0
1500870900,1.46347,1.46349,1.46334,1.4634,0,0
1500871200,1.4634,1.4634,1.46321,1.46324,0,0
1500871500,1.46324,1.46344,1.46322,1.46338,0,0
1500871800,1.46338,1.46342,1.46332,1.46336,0,0
1500872100,1.46336,1.46364,1.4633,1.46336,0,0
1500872400,1.46336,1.46348,1.46316,1.46316,0,0
1500872700,1.46316,1.46342,1.46315,1.46336,0,0
1500873000,1.46336,1.46346,1.4633,1.46338,0,0
1500873300,1.46338,1.46341,1.46316,1.46318,0,0
1500873600,1.46318,1.4632,1.46307,1.46308,0,0
1500873900,1.46308,1.4631,1.46283,1.46302,0,0
1500874200,1.46302,1.46316,1.46288,1.46302,0,0
1500874500,1.46302,1.46308,1.46296,1.46302,0,0
1500874800,1.46302,1.4631,1.46287,1.46308,0,0
1500875100,1.46308,1.46335,1.46305,1.4631,0,0
1500875400,1.4631,1.46324,1.46306,1.46312,0,0
1500875700,1.46312,1.46322,1.46261,1.46276,0,0
1500876000,1.46276,1.4628,1.46235,1.46275,0,0
1500876300,1.46275,1.46278,1.46175,1.46186,0,0
1500876600,1.46186,1.46232,1.46176,1.4619,0,0
1500876900,1.4619,1.46206,1.46156,1.46157,0,0
1500877200,1.46157,1.4619,1.46119,1.46154,0,0
1500877500,1.46154,1.46168,1.46104,1.46154,0,0
1500877800,1.46154,1.4619,1.46125,1.46186,0,0
1500878100,1.46186,1.46186,1.4613,1.46158,0,0
1500878400,1.46158,1.46188,1.46155,1.46166,0,0
1500878700,1.46166,1.46167,1.46072,1.46078,0,0
1500879000,1.46078,1.46104,1.4603,1.46041,0,0
1500879300,1.46041,1.4605,1.45942,1.45994,0,0
1500879600,1.45994,1.45996,1.45906,1.45928,0,0
1500879900,1.45928,1.46048,1.45922,1.46002,0,0
1500880200,1.46002,1.46078,1.45974,1.46066,0,0
1500880500,1.46066,1.46066,1.45996,1.4601,0,0
1500880800,1.4601,1.46079,1.45978,1.45982,0,0
1500881100,1.45982,1.46038,1.45914,1.4598,0,0
1500881400,1.4598,1.4598,1.45829,1.45866,0,0
1500881700,1.45866,1.45984,1.4586,1.45912,0,0
1500882000,1.45912,1.45954,1.4586,1.4587,0,0
1500882300,1.4587,1.45892,1.4578,1.45842,0,0
1500882600,1.45842,1.45934,1.45838,1.45916,0,0
1500882900,1.45916,1.45952,1.45877,1.45906,0,0
1500883200,1.45906,1.4602,1.45889,1.46016,0,0
1500883500,1.46016,1.46056,1.4597,1.45984,0,0
1500883800,1.45984,1.46005,1.45902,1.45937,0,0
1500884100,1.45937,1.45974,1.45927,1.45964,0,0
1500884400,1.45964,1.45993,1.4593,1.45984,0,0
1500884700,1.45984,1.45989,1.45894,1.45918,0,0
1500885000,1.45918,1.45948,1.45885,1.459,0,0
1500885300,1.459,1.45948,1.45892,1.45906,0,0
1500885600,1.45906,1.45979,1.45895,1.45926,0,0
1500885900,1.45926,1.46016,1.45912,1.45964,0,0
1500886200,1.45964,1.46018,1.45953,1.46004,0,0
1500886500,1.46004,1.46073,1.45985,1.4605,0,0
1500886800,1.4605,1.4605,1.45897,1.4591,0,0
1500887100,1.4591,1.45955,1.45884,1.45935,0,0
1500887400,1.45935,1.45992,1.45924,1.4598,0,0
1500887700,1.4598,1.46024,1.45946,1.45958,0,0
1500888000,1.45958,1.4604,1.45944,1.45981,0,0
1500888300,1.45981,1.46024,1.45981,1.46008,0,0
1500888600,1.46008,1.4605,1.4599,1.46032,0,0
1500888900,1.46032,1.46053,1.4602,1.46048,0,0
1500889200,1.46048,1.46124,1.46002,1.46105,0,0
1500889500,1.46105,1.4614,1.46068,1.46084,0,0
