time,open,high,low,close,"Pattern Alert",Volume
1489689000,1.06862,1.06864,1.06854,1.06862,0,0
1489689300,1.06862,1.06901,1.06854,1.06884,0,0
1489689600,1.06884,1.06948,1.06886,1.06948,0,0
1489689900,1.06948,1.06985,1.06924,1.06966,0,0
1489690200,1.06966,1.07051,1.06968,1.07042,0,0
1489690500,1.07042,1.07119,1.07046,1.07112,0,0
1489690800,1.07112,1.07156,1.07106,1.07134,0,0
1489691100,1.07134,1.07178,1.07129,1.07166,0,0
1489691400,1.07166,1.07168,1.07136,1.0714,0,0
1489691700,1.0714,1.07178,1.07138,1.07178,0,0
1489692000,1.07178,1.07198,1.07168,1.07195,0,0
1489692300,1.07195,1.07198,1.07182,1.07194,0,0
1489692600,1.07194,1.07226,1.07183,1.07226,0,0
1489692900,1.07226,1.0723,1.07216,1.07216,0,0
1489693200,1.07216,1.07228,1.07214,1.07218,0,0
1489693500,1.07218,1.07275,1.07216,1.0727,0,0
1489693800,1.0727,1.07298,1.07264,1.07292,0,0
1489694100,1.07292,1.07306,1.07276,1.07298,0,0
1489694400,1.07298,1.07303,1.07268,1.07268,0,0
1489694700,1.07268,1.07268,1.07225,1.07229,0,0
1489695000,1.07229,1.07256,1.07224,1.07256,0,0
1489695300,1.07256,1.07254,1.07242,1.07248,0,0
1489695600,1.07248,1.0725,1.07238,1.07247,0,0
1489695900,1.07247,1.07254,1.07239,1.07239,0,0
1489696200,1.07239,1.07249,1.0722,1.07249,0,0
1489696500,1.07249,1.07252,1.07233,1.07233,0,0
1489696800,1.07233,1.07231,1.07224,1.07226,0,0
1489697100,1.07226,1.0723,1.07218,1.07225,0,0
1489697400,1.07225,1.07228,1.07206,1.0721,0,0
1489697700,1.0721,1.0728,1.07206,1.0728,0,0
1489698000,1.0728,1.0728,1.07266,1.07272,0,0
1489698300,1.07272,1.07272,1.07255,1.07268,0,0
1489698600,1.07268,1.07294,1.07258,1.07275,0,0
1489698900,1.07275,1.07275,1.07271,1.07275,0,0
1489699200,1.07275,1.0728,1.0727,1.0728,0,0
1489699500,1.0728,1.0728,1.0726,1.07272,0,0
1489699800,1.07272,1.07282,1.07272,1.07274,0,0
1489700100,1.07274,1.07281,1.07268,1.07281,0,0
1489700400,1.07281,1.07293,1.0727,1.07282,0,0
1489700700,1.07282,1.07307,1.07272,1.07304,0,0
1489701000,1.07304,1.0731,1.07294,1.07303,0,0
1489701300,1.07303,1.0731,1.07292,1.07296,0,0
1489701600,1.07296,1.07305,1.07268,1.07302,0,0
1489701900,1.07302,1.07312,1.07294,1.07296,0,0
1489702200,1.07296,1.07306,1.0727,1.073,0,0
1489702500,1.073,1.07312,1.07298,1.0731,0,0
1489702800,1.0731,1.07314,1.07302,1.07302,0,0
1489703100,1.07302,1.07308,1.07285,1.07308,0,0
1489703400,1.07308,1.07312,1.07278,1.07294,0,0
1489703700,1.07294,1.07306,1.07272,1.07303,0,0
1489704000,1.07303,1.0731,1.07296,1.07308,0,0
1489704300,1.07308,1.0731,1.07308,1.0731,0,0
1489704600,1.0731,1.07316,1.07313,1.07313,0,0
1489704900,1.07313,1.0731,1.07304,1.07306,0,0
1489705200,1.07306,1.07351,1.07299,1.07327,0,0
1489705500,1.07327,1.07331,1.07322,1.07322,0,0
