time,open,high,low,close,"Pattern Alert",Volume
1487356200,119.746,119.762,119.74,119.754,0,0
1487356500,119.754,119.763,119.729,119.752,0,0
1487356800,119.752,119.75,119.724,119.724,0,0
1487357100,119.724,119.752,119.705,119.747,0,0
1487357400,119.747,119.752,119.73,119.748,0,0
1487357700,119.748,119.765,119.748,119.758,0,0
1487358000,119.758,119.786,119.754,119.777,0,0
1487358300,119.777,119.788,119.772,119.784,0,0
1487358600,119.784,119.8,119.774,119.796,0,0
1487358900,119.796,119.81,119.794,119.8,0,0
1487359200,119.8,119.807,119.787,119.787,0,0
1487359500,119.787,119.801,119.783,119.793,0,0
1487359800,119.793,119.823,119.789,119.815,0,0
1487360100,119.815,119.828,119.812,119.827,0,0
1487360400,119.827,119.849,119.815,119.84,0,0
1487360700,119.84,119.859,119.836,119.84,0,0
1487361000,119.84,119.847,119.806,119.819,0,0
1487361300,119.819,119.822,119.778,119.78,0,0
1487361600,119.78,119.798,119.771,119.794,0,0
1487361900,119.794,119.802,119.785,119.786,0,0
1487362200,119.786,119.794,119.775,119.794,0,0
1487362500,119.794,119.798,119.782,119.786,0,0
1487362800,119.786,119.794,119.77,119.777,0,0
1487363100,119.777,119.791,119.77,119.778,0,0
1487363400,119.778,119.792,119.768,119.788,0,0
1487363700,119.788,119.821,119.782,119.82,0,0
1487364000,119.82,119.836,119.82,119.826,0,0
1487364300,119.826,119.838,119.786,119.786,0,0
1487364600,119.786,119.822,119.79,119.806,0,0
1487364900,119.806,119.844,119.788,119.788,0,0
1487365200,119.788,119.787,119.757,119.769,0,0
1487365500,119.769,119.79,119.764,119.786,0,0
1487365800,119.786,119.806,119.783,119.8,0,0
1487366100,119.8,119.82,119.8,119.8,0,0
1487366400,119.8,119.813,119.77,119.778,0,0
1487366700,119.778,119.788,119.752,119.752,0,0
1487367000,119.752,119.782,119.728,119.782,0,0
1487367300,119.782,119.779,119.761,119.762,0,0
1487367600,119.762,119.792,119.753,119.788,0,0
1487367900,119.788,119.821,119.784,119.786,0,0
1487368200,119.786,119.82,119.74,119.776,0,0
1487368500,119.776,119.836,119.731,119.771,0,0
