time,open,high,low,close,"Pattern Alert",Volume
1499711400,1.14066,1.14076,1.14058,1.14068,0,0
1499711700,1.14068,1.14074,1.14062,1.14064,0,0
1499712000,1.14064,1.14071,1.14056,1.14065,0,0
1499712300,1.14065,1.14064,1.1403,1.14039,0,0
1499712600,1.14039,1.14046,1.14026,1.1403,0,0
1499712900,1.1403,1.14039,1.14024,1.14032,0,0
1499713200,1.14032,1.14036,1.14008,1.14008,0,0
1499713500,1.14008,1.14018,1.14001,1.14009,0,0
1499713800,1.14009,1.14016,1.14006,1.1401,0,0
1499714100,1.1401,1.14022,1.14006,1.14008,0,0
1499714400,1.14008,1.14016,1.14004,1.14005,0,0
1499714700,1.14005,1.14014,1.14002,1.14006,0,0
1499715000,1.14006,1.1401,1.14,1.14002,0,0
1499715300,1.14002,1.14004,1.13992,1.14,0,0
1499715600,1.14,1.14,1.13982,1.13984,0,0
1499715900,1.13984,1.13992,1.1398,1.13981,0,0
1499716200,1.13981,1.13991,1.13978,1.13988,0,0
1499716500,1.13988,1.14008,1.13983,1.14001,0,0
1499716800,1.14001,1.14002,1.13991,1.13995,0,0
1499717100,1.13995,1.14002,1.13986,1.14002,0,0
1499717400,1.14002,1.14006,1.13998,1.14005,0,0
1499717700,1.14005,1.14004,1.13994,1.13995,0,0
1499718000,1.13995,1.14,1.13992,1.13996,0,0
1499718300,1.13996,1.13995,1.13979,1.13982,0,0
1499718600,1.13982,1.13992,1.13982,1.13992,0,0
1499718900,1.13992,1.14,1.13992,1.13999,0,0
1499719200,1.13999,1.14002,1.13994,1.13996,0,0
1499719500,1.13996,1.14002,1.13994,1.13996,0,0
1499719800,1.13996,1.13996,1.1399,1.13994,0,0
1499720100,1.13994,1.13996,1.13987,1.13994,0,0
1499720400,1.13994,1.13994,1.13987,1.13987,0,0
1499720700,1.13987,1.13988,1.1398,1.13986,0,0
1499721000,1.13986,1.13986,1.13978,1.13986,0,0
1499721300,1.13986,1.13989,1.13984,1.13987,0,0
1499721600,1.13987,1.13992,1.13988,1.1399,0,0
1499721900,1.1399,1.13996,1.13959,1.13988,0,0
1499722200,1.13988,1.13996,1.13958,1.13973,0,0
1499722500,1.13973,1.13996,1.1397,1.13982,0,0
1499722800,1.13982,1.13994,1.13978,1.1399,0,0
1499723100,1.1399,1.13988,1.13968,1.13974,0,0
1499723400,1.13974,1.13977,1.13972,1.13972,0,0
1499723700,1.13972,1.13986,1.13974,1.13976,0,0
1499724000,1.13976,1.13983,1.13972,1.13975,0,0
1499724300,1.13975,1.13975,1.1397,1.13972,0,0
1499724600,1.13972,1.13974,1.13938,1.13942,0,0
1499724900,1.13942,1.13976,1.1394,1.13973,0,0
1499725200,1.13973,1.1398,1.13962,1.13964,0,0
1499725500,1.13964,1.1397,1.13951,1.13953,0,0
1499725800,1.13953,1.1398,1.13947,1.13972,0,0
1499726100,1.13972,1.1398,1.13964,1.1397,0,0
1499726400,1.1397,1.13975,1.1396,1.1396,0,0
1499726700,1.1396,1.1397,1.13954,1.1396,0,0
1499727000,1.1396,1.13969,1.13957,1.13959,0,0
1499727300,1.13959,1.13966,1.13958,1.13966,0,0
1499727600,1.13966,1.13972,1.13954,1.13956,0,0
1499727900,1.13956,1.13976,1.13957,1.13968,0,0
1499728200,1.13968,1.1397,1.13959,1.13966,0,0
1499728500,1.13966,1.13976,1.13964,1.13976,0,0
1499728800,1.13976,1.1398,1.13964,1.13964,0,0
1499729100,1.13964,1.13966,1.1396,1.13966,0,0
1499729400,1.13966,1.13975,1.13966,1.13975,0,0
1499729700,1.13975,1.13975,1.13956,1.1397,0,0
1499730000,1.1397,1.13968,1.13962,1.13966,0,0
1499730300,1.13966,1.13966,1.13962,1.13965,0,0
1499730600,1.13965,1.13966,1.1396,1.1396,0,0
1499730900,1.1396,1.13965,1.1396,1.13964,0,0
1499731200,1.13964,1.13978,1.1396,1.13962,0,0
1499731500,1.13962,1.13972,1.13955,1.13966,0,0
1499731800,1.13966,1.13965,1.1395,1.13961,0,0
1499732100,1.13961,1.13966,1.13954,1.13955,0,0
1499732400,1.13955,1.13959,1.13936,1.13946,0,0
1499732700,1.13946,1.13961,1.13946,1.13951,0,0
1499733000,1.13951,1.13971,1.13952,1.1397,0,0
1499733300,1.1397,1.1397,1.13961,1.13965,0,0
1499733600,1.13965,1.1397,1.13954,1.13959,0,0
1499733900,1.13959,1.1396,1.13953,1.13953,0,0
1499734200,1.13953,1.13952,1.13929,1.13952,0,0
1499734500,1.13952,1.13958,1.1394,1.1395,0,0
1499734800,1.1395,1.13961,1.1394,1.13946,0,0
1499735100,1.13946,1.13957,1.13941,1.13942,0,0
1499735400,1.13942,1.13953,1.1394,1.13944,0,0
1499735700,1.13944,1.1396,1.13936,1.13959,0,0
1499736000,1.13959,1.13967,1.13952,1.13962,0,0
1499736300,1.13962,1.13973,1.13951,1.13953,0,0
1499736600,1.13953,1.13968,1.13949,1.1396,0,0
1499736900,1.1396,1.13976,1.1395,1.13974,0,0
1499737200,1.13974,1.13975,1.13956,1.13958,0,0
1499737500,1.13958,1.1396,1.13948,1.13957,0,0
1499737800,1.13957,1.13959,1.1395,1.1395,0,0
1499738100,1.1395,1.13954,1.13922,1.13932,0,0
1499738400,1.13932,1.1394,1.13926,1.13926,0,0
1499738700,1.13926,1.1394,1.13925,1.13938,0,0
1499739000,1.13938,1.13952,1.13938,1.13946,0,0
1499739300,1.13946,1.13952,1.13942,1.1395,0,0
1499739600,1.1395,1.13952,1.13943,1.13943,0,0
1499739900,1.13943,1.13958,1.13943,1.13956,0,0
1499740200,1.13956,1.13956,1.1395,1.13956,0,0
1499740500,1.13956,1.13961,1.13944,1.13945,0,0
1499740800,1.13945,1.13946,1.13932,1.13934,0,0
1499741100,1.13934,1.13939,1.1393,1.13931,0,0
1499741400,1.13931,1.13938,1.13932,1.13934,0,0
1499741700,1.13934,1.13948,1.13934,1.13935,0,0
1499742000,1.13935,1.13936,1.13924,1.1393,0,0
1499742300,1.1393,1.13938,1.13928,1.13938,0,0
1499742600,1.13938,1.13944,1.13934,1.13938,0,0
1499742900,1.13938,1.1394,1.13934,1.13939,0,0
1499743200,1.13939,1.13943,1.13932,1.13935,0,0
1499743500,1.13935,1.13935,1.13935,1.13935,0,0
1499743800,1.13935,1.13948,1.13936,1.13947,0,0
1499744100,1.13947,1.13952,1.1394,1.1394,0,0
1499744400,1.1394,1.13944,1.13936,1.13938,0,0
1499744700,1.13938,1.13946,1.13934,1.13943,0,0
1499745000,1.13943,1.13944,1.13933,1.13935,0,0
1499745300,1.13935,1.1395,1.13936,1.13944,0,0
1499745600,1.13944,1.13948,1.1394,1.1394,0,0
1499745900,1.1394,1.13939,1.1392,1.13925,0,0
1499746200,1.13925,1.13928,1.13924,1.13926,0,0
1499746500,1.13926,1.13934,1.13925,1.13934,0,0
1499746800,1.13934,1.13939,1.13931,1.13934,0,0
1499747100,1.13934,1.13934,1.1392,1.13922,0,0
1499747400,1.13922,1.13923,1.13911,1.13914,0,0
1499747700,1.13914,1.13919,1.13911,1.13914,0,0
1499748000,1.13914,1.13924,1.13914,1.13924,0,0
1499748300,1.13924,1.13924,1.13918,1.1392,0,0
1499748600,1.1392,1.13924,1.13872,1.13878,0,0
1499748900,1.13878,1.13897,1.13874,1.13886,0,0
1499749200,1.13886,1.13887,1.13861,1.1387,0,0
1499749500,1.1387,1.1388,1.13866,1.13868,0,0
1499749800,1.13868,1.1388,1.13864,1.1388,0,0
1499750100,1.1388,1.13885,1.13848,1.13854,0,0
1499750400,1.13854,1.13887,1.13855,1.13882,0,0
1499750700,1.13882,1.13885,1.1385,1.13852,0,0
1499751000,1.13852,1.13872,1.13852,1.13854,0,0
1499751300,1.13854,1.13865,1.13838,1.13854,0,0
1499751600,1.13854,1.13864,1.13854,1.13858,0,0
1499751900,1.13858,1.13873,1.13852,1.13858,0,0
1499752200,1.13858,1.13862,1.13832,1.13852,0,0
1499752500,1.13852,1.13864,1.13833,1.13834,0,0
1499752800,1.13834,1.13862,1.1383,1.13841,0,0
1499753100,1.13841,1.13852,1.1383,1.13842,0,0
1499753400,1.13842,1.13876,1.13838,1.13872,0,0
1499753700,1.13872,1.13896,1.1387,1.13896,0,0
1499754000,1.13896,1.13898,1.1385,1.1387,0,0
1499754300,1.1387,1.13898,1.1386,1.13891,0,0
1499754600,1.13891,1.13916,1.13874,1.13911,0,0
1499754900,1.13911,1.1392,1.13892,1.13898,0,0
1499755200,1.13898,1.13904,1.13839,1.1385,0,0
1499755500,1.1385,1.13865,1.13838,1.13858,0,0
1499755800,1.13858,1.13874,1.13854,1.13872,0,0
1499756100,1.13872,1.13908,1.13864,1.13907,0,0
1499756400,1.13907,1.13943,1.13908,1.1393,0,0
1499756700,1.1393,1.13937,1.13912,1.13917,0,0
1499757000,1.13917,1.13924,1.13889,1.13902,0,0
1499757300,1.13902,1.13908,1.13864,1.13869,0,0
1499757600,1.13869,1.13896,1.13852,1.13888,0,0
1499757900,1.13888,1.13938,1.13873,1.13924,0,0
1499758200,1.13924,1.13978,1.13925,1.13957,0,0
1499758500,1.13957,1.1399,1.13948,1.13987,0,0
1499758800,1.13987,1.13991,1.1397,1.13974,0,0
1499759100,1.13974,1.13976,1.13925,1.13931,0,0
1499759400,1.13931,1.13941,1.13901,1.13918,0,0
1499759700,1.13918,1.1392,1.13868,1.13903,0,0
1499760000,1.13903,1.1398,1.13902,1.13957,0,0
1499760300,1.13957,1.13994,1.1395,1.13994,0,0
1499760600,1.13994,1.13994,1.13957,1.13966,0,0
1499760900,1.13966,1.13971,1.13946,1.13958,0,0
1499761200,1.13958,1.1397,1.13946,1.13956,0,0
1499761500,1.13956,1.13956,1.13942,1.13948,0,0
1499761800,1.13948,1.1397,1.13942,1.13962,0,0
1499762100,1.13962,1.13982,1.1395,1.1397,0,0
1499762400,1.1397,1.1399,1.13962,1.13987,0,0
1499762700,1.13987,1.14,1.13967,1.13984,0,0
1499763000,1.13984,1.1399,1.13946,1.1396,0,0
1499763300,1.1396,1.13984,1.13948,1.13961,0,0
1499763600,1.13961,1.13961,1.1394,1.13943,0,0
1499763900,1.13943,1.13948,1.13926,1.13934,0,0
1499764200,1.13934,1.1395,1.13928,1.1394,0,0
1499764500,1.1394,1.13952,1.13922,1.13936,0,0
1499764800,1.13936,1.13956,1.13927,1.13941,0,0
1499765100,1.13941,1.13954,1.13919,1.13932,0,0
1499765400,1.13932,1.13954,1.13932,1.13948,0,0
1499765700,1.13948,1.1396,1.13932,1.13941,0,0
1499766000,1.13941,1.13952,1.13916,1.13933,0,0
1499766300,1.13933,1.13948,1.1393,1.13944,0,0
1499766600,1.13944,1.13951,1.1393,1.1394,0,0
1499766900,1.1394,1.13955,1.1393,1.13951,0,0
1499767200,1.13951,1.13964,1.13937,1.13952,0,0
1499767500,1.13952,1.13956,1.13937,1.13951,0,0
1499767800,1.13951,1.13964,1.1394,1.13952,0,0
1499768100,1.13952,1.13961,1.13946,1.13947,0,0
1499768400,1.13947,1.13955,1.13928,1.13946,0,0
1499768700,1.13946,1.13945,1.13901,1.13902,0,0
1499769000,1.13902,1.13918,1.13902,1.13916,0,0
1499769300,1.13916,1.13934,1.13908,1.13932,0,0
1499769600,1.13932,1.13938,1.13923,1.13928,0,0
1499769900,1.13928,1.13952,1.13926,1.13942,0,0
1499770200,1.13942,1.13976,1.13942,1.13946,0,0
1499770500,1.13946,1.13966,1.13945,1.13959,0,0
1499770800,1.13959,1.13976,1.13948,1.13968,0,0
1499771100,1.13968,1.13976,1.13958,1.13966,0,0
1499771400,1.13966,1.13976,1.13957,1.13976,0,0
1499771700,1.13976,1.1398,1.1396,1.1398,0,0
1499772000,1.1398,1.13985,1.13956,1.13957,0,0
1499772300,1.13957,1.1397,1.13946,1.13961,0,0
1499772600,1.13961,1.1399,1.13956,1.1396,0,0
1499772900,1.1396,1.13972,1.1395,1.13965,0,0
1499773200,1.13965,1.13972,1.13946,1.13954,0,0
1499773500,1.13954,1.13964,1.13942,1.13956,0,0
1499773800,1.13956,1.13956,1.1394,1.13946,0,0
1499774100,1.13946,1.13959,1.1394,1.13944,0,0
1499774400,1.13944,1.14009,1.13942,1.1398,0,0
1499774700,1.1398,1.14052,1.13972,1.14035,0,0
1499775000,1.14035,1.1405,1.14014,1.14046,0,0
1499775300,1.14046,1.14088,1.1404,1.14086,0,0
1499775600,1.14086,1.1414,1.14059,1.1412,0,0
1499775900,1.1412,1.1413,1.14104,1.14108,0,0
1499776200,1.14108,1.14129,1.14084,1.14106,0,0
1499776500,1.14106,1.14115,1.1408,1.1408,0,0
1499776800,1.1408,1.1409,1.14077,1.14086,0,0
1499777100,1.14086,1.1409,1.14074,1.14076,0,0
1499777400,1.14076,1.14088,1.14044,1.14046,0,0
1499777700,1.14046,1.14054,1.14014,1.14019,0,0
1499778000,1.14019,1.14042,1.14016,1.14026,0,0
1499778300,1.14026,1.14039,1.13936,1.13946,0,0
1499778600,1.13946,1.1399,1.13937,1.13981,0,0
1499778900,1.13981,1.14027,1.13982,1.14012,0,0
1499779200,1.14012,1.14048,1.14006,1.14036,0,0
1499779500,1.14036,1.14042,1.14004,1.14004,0,0
1499779800,1.14004,1.1403,1.14002,1.14025,0,0
1499780100,1.14025,1.14048,1.14019,1.14042,0,0
1499780400,1.14042,1.14066,1.14026,1.14064,0,0
1499780700,1.14064,1.14066,1.14038,1.14052,0,0
1499781000,1.14052,1.14082,1.1405,1.14065,0,0
1499781300,1.14065,1.14094,1.14046,1.14082,0,0
1499781600,1.14082,1.14107,1.1407,1.1409,0,0
1499781900,1.1409,1.14093,1.13954,1.14002,0,0
1499782200,1.14002,1.14044,1.14,1.14018,0,0
1499782500,1.14018,1.14024,1.14004,1.14018,0,0
1499782800,1.14018,1.1404,1.14001,1.14033,0,0
1499783100,1.14033,1.14055,1.14021,1.14051,0,0
1499783400,1.14051,1.14106,1.14045,1.14076,0,0
1499783700,1.14076,1.14102,1.14076,1.14092,0,0
1499784000,1.14092,1.14151,1.14093,1.14144,0,0
1499784300,1.14144,1.14244,1.1413,1.1419,0,0
1499784600,1.1419,1.14234,1.1419,1.14231,0,0
1499784900,1.14231,1.14248,1.14176,1.14196,0,0
1499785200,1.14196,1.14197,1.14159,1.1418,0,0
1499785500,1.1418,1.14181,1.14146,1.14164,0,0
1499785800,1.14164,1.1419,1.1416,1.14178,0,0
1499786100,1.14178,1.1422,1.14179,1.14187,0,0
1499786400,1.14187,1.14291,1.14186,1.14255,0,0
1499786700,1.14255,1.14322,1.14254,1.14286,0,0
1499787000,1.14286,1.14334,1.14278,1.14284,0,0
1499787300,1.14284,1.14288,1.14258,1.14264,0,0
1499787600,1.14264,1.14308,1.14261,1.14284,1,0
1499787900,1.14284,1.14317,1.14285,1.14294,0,0
1499788200,1.14294,1.14312,1.14281,1.14284,0,0
1499788500,1.14284,1.14306,1.14278,1.143,0,0
1499788800,1.143,1.14312,1.14288,1.14296,0,0
1499789100,1.14296,1.14318,1.14284,1.14307,0,0
1499789400,1.14307,1.14354,1.14306,1.14352,0,0
1499789700,1.14352,1.14368,1.14342,1.14359,0,0
1499790000,1.14359,1.14375,1.14316,1.14353,0,0
1499790300,1.14353,1.14356,1.1433,1.14336,0,0
1499790600,1.14336,1.14449,1.1432,1.14429,0,0
1499790900,1.14429,1.1445,1.14405,1.14446,0,0
1499791200,1.14446,1.1448,1.14431,1.14468,0,0
1499791500,1.14468,1.14466,1.14424,1.14426,0,0
1499791800,1.14426,1.14443,1.14422,1.14426,0,0
1499792100,1.14426,1.14432,1.1438,1.14395,0,0
1499792400,1.14395,1.14444,1.14397,1.14426,0,0
1499792700,1.14426,1.14465,1.14424,1.1446,0,0
1499793000,1.1446,1.14463,1.14447,1.14456,0,0
1499793300,1.14456,1.1446,1.1444,1.14445,0,0
1499793600,1.14445,1.14446,1.14423,1.14429,0,0
1499793900,1.14429,1.1445,1.14431,1.1445,0,0
1499794200,1.1445,1.14479,1.14449,1.14479,0,0
1499794500,1.14479,1.1474,1.14476,1.14704,0,0
1499794800,1.14704,1.14725,1.14666,1.14678,0,0
1499795100,1.14678,1.14768,1.14658,1.14668,0,0
1499795400,1.14668,1.14673,1.14618,1.14632,0,0
1499795700,1.14632,1.14668,1.146,1.14668,0,0
1499796000,1.14668,1.14722,1.14661,1.14684,0,0
1499796300,1.14684,1.14716,1.14679,1.14694,0,0
1499796600,1.14694,1.147,1.1467,1.14683,0,0
1499796900,1.14683,1.14713,1.14683,1.14708,0,0
1499797200,1.14708,1.14728,1.14698,1.14725,0,0
1499797500,1.14725,1.14762,1.14718,1.14743,0,0
