time,open,high,low,close,"Pattern Alert",Volume
1502389800,1.64526,1.64526,1.64462,1.64496,0,0
1502390100,1.64496,1.64522,1.64492,1.64522,0,0
1502390400,1.64522,1.64555,1.64517,1.64542,0,0
1502390700,1.64542,1.64556,1.64462,1.64464,0,0
1502391000,1.64464,1.64467,1.64413,1.64418,0,0
1502391300,1.64418,1.64508,1.64419,1.64496,0,0
1502391600,1.64496,1.64512,1.64442,1.64476,0,0
1502391900,1.64476,1.64478,1.64404,1.64436,0,0
1502392200,1.64436,1.64475,1.64432,1.64474,0,0
1502392500,1.64474,1.64517,1.6447,1.64485,0,0
1502392800,1.64485,1.64505,1.64466,1.64502,0,0
1502393100,1.64502,1.64516,1.64481,1.64505,0,0
1502393400,1.64505,1.64542,1.64491,1.64542,0,0
1502393700,1.64542,1.64584,1.64521,1.64564,0,0
1502394000,1.64564,1.64602,1.64554,1.64589,0,0
1502394300,1.64589,1.6464,1.64576,1.64636,0,0
1502394600,1.64636,1.6467,1.64612,1.64634,0,0
1502394900,1.64634,1.64673,1.64622,1.64667,0,0
1502395200,1.64667,1.64693,1.64638,1.64663,0,0
1502395500,1.64663,1.64692,1.6465,1.64686,0,0
1502395800,1.64686,1.6476,1.64674,1.64758,0,0
1502396100,1.64758,1.64772,1.64732,1.6476,0,0
1502396400,1.6476,1.64818,1.6476,1.64818,0,0
1502396700,1.64818,1.64877,1.64816,1.64858,0,0
1502397000,1.64858,1.64896,1.64852,1.64866,0,0
1502397300,1.64866,1.64868,1.64789,1.64794,0,0
1502397600,1.64794,1.64808,1.64774,1.64796,0,0
1502397900,1.64796,1.64811,1.64778,1.648,0,0
1502398200,1.648,1.64834,1.64794,1.64833,0,0
1502398500,1.64833,1.64834,1.6475,1.64773,0,0
1502398800,1.64773,1.64832,1.64773,1.64818,0,0
1502399100,1.64818,1.64862,1.6478,1.64787,0,0
1502399400,1.64787,1.64804,1.64764,1.64772,0,0
1502399700,1.64772,1.64822,1.64769,1.64816,0,0
1502400000,1.64816,1.64846,1.64813,1.6484,0,0
1502400300,1.6484,1.64875,1.64802,1.6484,0,0
1502400600,1.6484,1.64851,1.64818,1.6483,0,0
1502400900,1.6483,1.64861,1.6481,1.64837,0,0
1502401200,1.64837,1.64836,1.64785,1.64813,0,0
1502401500,1.64813,1.64836,1.64798,1.64834,0,0
1502401800,1.64834,1.64891,1.6483,1.64877,0,0
1502402100,1.64877,1.64878,1.64842,1.64846,0,0
1502402400,1.64846,1.64881,1.64832,1.64879,0,0
1502402700,1.64879,1.6497,1.64878,1.6497,0,0
1502403000,1.6497,1.65038,1.6497,1.65038,0,0
1502403300,1.65038,1.65043,1.64984,1.64998,0,0
1502403600,1.64998,1.65006,1.64977,1.64984,0,0
1502403900,1.64984,1.64999,1.64971,1.64988,0,0
1502404200,1.64988,1.65035,1.64974,1.64982,0,0
1502404500,1.64982,1.64997,1.64958,1.64988,0,0
1502404800,1.64988,1.65034,1.64982,1.65028,0,0
1502405100,1.65028,1.65077,1.65018,1.65054,0,0
1502405400,1.65054,1.65066,1.6504,1.65066,0,0
1502405700,1.65066,1.65064,1.64989,1.65001,0,0
1502406000,1.65001,1.65056,1.64986,1.64992,0,0
1502406300,1.64992,1.64996,1.64976,1.64991,0,0
1502406600,1.64991,1.64992,1.64962,1.6498,0,0
1502406900,1.6498,1.6498,1.64932,1.64933,0,0
1502407200,1.64933,1.64938,1.64928,1.64936,0,0
1502407500,1.64936,1.6495,1.64925,1.64928,0,0
1502407800,1.64928,1.6498,1.64924,1.64977,0,0
1502408100,1.64977,1.65032,1.64949,1.6502,0,0
1502408400,1.6502,1.65028,1.64985,1.6502,0,0
1502408700,1.6502,1.6502,1.64988,1.64994,0,0
1502409000,1.64994,1.65013,1.64972,1.64974,0,0
1502409300,1.64974,1.64984,1.64923,1.64924,0,0
1502409600,1.64924,1.64993,1.64888,1.64918,0,0
1502409900,1.64918,1.64926,1.64894,1.64926,0,0
1502410200,1.64926,1.6494,1.6487,1.64902,0,0
1502410500,1.64902,1.64942,1.64882,1.64922,0,0
1502410800,1.64922,1.64933,1.64886,1.64886,0,0
1502411100,1.64886,1.64997,1.64876,1.64948,0,0
1502411400,1.64948,1.65012,1.6493,1.65,0,0
1502411700,1.65,1.65022,1.64962,1.64966,0,0
1502412000,1.64966,1.6498,1.64934,1.64938,0,0
1502412300,1.64938,1.64946,1.64905,1.64918,0,0
1502412600,1.64918,1.64986,1.64913,1.64967,0,0
1502412900,1.64967,1.64983,1.6494,1.64944,0,0
1502413200,1.64944,1.64945,1.64896,1.64908,0,0
1502413500,1.64908,1.65016,1.6491,1.65004,0,0
1502413800,1.65004,1.65069,1.64974,1.65052,0,0
1502414100,1.65052,1.651,1.65023,1.65066,0,0
1502414400,1.65066,1.6532,1.6505,1.65242,0,0
1502414700,1.65242,1.65296,1.65232,1.65276,0,0
1502415000,1.65276,1.65396,1.65263,1.65386,0,0
1502415300,1.65386,1.65474,1.65386,1.65474,0,0
1502415600,1.65474,1.6551,1.65414,1.65434,0,0
1502415900,1.65434,1.6546,1.65402,1.6541,0,0
1502416200,1.6541,1.65446,1.65383,1.65392,0,0
1502416500,1.65392,1.65416,1.65368,1.65406,0,0
1502416800,1.65406,1.65445,1.65394,1.65444,0,0
1502417100,1.65444,1.6545,1.65389,1.6541,0,0
1502417400,1.6541,1.6541,1.65362,1.65397,0,0
1502417700,1.65397,1.65488,1.65398,1.6547,0,0
1502418000,1.6547,1.65515,1.65422,1.65514,0,0
1502418300,1.65514,1.65515,1.65404,1.65462,0,0
1502418600,1.65462,1.65463,1.65404,1.6541,0,0
1502418900,1.6541,1.65422,1.65224,1.65256,0,0
1502419200,1.65256,1.65332,1.65247,1.6528,0,0
1502419500,1.6528,1.65321,1.65265,1.65283,0,0
1502419800,1.65283,1.65331,1.65272,1.65325,0,0
1502420100,1.65325,1.65336,1.65304,1.65335,0,0
1502420400,1.65335,1.65433,1.65328,1.65423,0,0
1502420700,1.65423,1.65483,1.65386,1.65386,0,0
1502421000,1.65386,1.65454,1.65368,1.65372,0,0
1502421300,1.65372,1.65372,1.65294,1.6536,0,0
1502421600,1.6536,1.65392,1.6529,1.6537,0,0
1502421900,1.6537,1.65477,1.65368,1.65476,0,0
1502422200,1.65476,1.65554,1.65466,1.65554,0,0
1502422500,1.65554,1.65574,1.65498,1.65558,0,0
1502422800,1.65558,1.65615,1.65542,1.65612,0,0
1502423100,1.65612,1.65665,1.65589,1.65654,0,0
1502423400,1.65654,1.6567,1.65626,1.65664,0,0
1502423700,1.65664,1.65678,1.65575,1.65575,0,0
1502424000,1.65575,1.65629,1.6557,1.65609,0,0
1502424300,1.65609,1.65633,1.65597,1.65631,0,0
1502424600,1.65631,1.65634,1.65591,1.65614,0,0
1502424900,1.65614,1.65614,1.6556,1.65571,0,0
1502425200,1.65571,1.65597,1.65568,1.65596,0,0
1502425500,1.65596,1.65637,1.65582,1.65632,0,0
1502425800,1.65632,1.65648,1.65584,1.65584,0,0
1502426100,1.65584,1.65624,1.65559,1.65593,0,0
1502426400,1.65593,1.65594,1.65557,1.65578,0,0
1502426700,1.65578,1.65587,1.65537,1.65564,0,0
1502427000,1.65564,1.65574,1.65483,1.6549,0,0
1502427300,1.6549,1.65492,1.65456,1.6547,0,0
1502427600,1.6547,1.6548,1.65402,1.65402,0,0
1502427900,1.65402,1.6545,1.654,1.65437,0,0
