time,open,high,low,close,"Pattern Alert",Volume
1502053200,1.65043,1.6505,1.6496,1.65026,0,0
1502053500,1.65026,1.65049,1.65033,1.65049,0,0
1502053800,1.65049,1.65085,1.65049,1.65085,0,0
1502054100,1.65085,1.65075,1.64987,1.64987,0,0
1502054400,1.64987,1.65051,1.64976,1.65024,0,0
1502054700,1.65024,1.65024,1.65014,1.65014,0,0
1502055000,1.65014,1.65083,1.65025,1.65083,0,0
1502055300,1.65083,1.65094,1.65073,1.65083,0,0
1502055600,1.65083,1.65103,1.65074,1.6509,0,0
1502055900,1.6509,1.65096,1.6504,1.65071,0,0
1502056200,1.65071,1.65084,1.65071,1.65084,0,0
1502056500,1.65084,1.65088,1.6501,1.65034,0,0
1502056800,1.65034,1.65048,1.64938,1.65024,0,0
1502057100,1.65024,1.6504,1.64988,1.64999,0,0
1502057400,1.64999,1.65051,1.64985,1.65036,0,0
1502057700,1.65036,1.65036,1.64956,1.64968,0,0
1502058000,1.64968,1.64994,1.64934,1.64972,0,0
1502058300,1.64972,1.64982,1.64948,1.64963,0,0
1502058600,1.64963,1.64962,1.64878,1.64903,0,0
1502058900,1.64903,1.64948,1.64893,1.64927,0,0
1502059200,1.64927,1.64936,1.64898,1.64918,0,0
1502059500,1.64918,1.64938,1.64878,1.64898,0,0
1502059800,1.64898,1.64906,1.64839,1.64844,0,0
1502060100,1.64844,1.64844,1.64828,1.64835,0,0
1502060400,1.64835,1.64872,1.64829,1.64849,0,0
1502060700,1.64849,1.6493,1.64848,1.64928,0,0
1502061000,1.64928,1.64933,1.64903,1.64903,0,0
1502061300,1.64903,1.64904,1.6487,1.64872,0,0
1502061600,1.64872,1.64876,1.64862,1.64874,0,0
1502061900,1.64874,1.64895,1.6487,1.6489,0,0
1502062200,1.6489,1.64899,1.6488,1.64882,0,0
1502062500,1.64882,1.64906,1.64856,1.64903,0,0
1502062800,1.64903,1.64907,1.64831,1.6487,0,0
1502063100,1.6487,1.64916,1.6486,1.64914,0,0
1502063400,1.64914,1.64942,1.64896,1.64929,0,0
1502063700,1.64929,1.64956,1.64907,1.64943,0,0
1502064000,1.64943,1.64962,1.64844,1.6488,0,0
1502064300,1.6488,1.64909,1.64866,1.64896,0,0
1502064600,1.64896,1.64926,1.6489,1.64897,0,0
1502064900,1.64897,1.64938,1.64894,1.64926,0,0
1502065200,1.64926,1.64949,1.64906,1.64924,0,0
1502065500,1.64924,1.6494,1.64866,1.64866,0,0
1502065800,1.64866,1.6489,1.64855,1.6486,0,0
1502066100,1.6486,1.64888,1.64856,1.64885,0,0
1502066400,1.64885,1.64905,1.64856,1.6488,0,0
1502066700,1.6488,1.64914,1.64853,1.64906,0,0
1502067000,1.64906,1.64954,1.64902,1.64948,0,0
1502067300,1.64948,1.64948,1.64831,1.64878,0,0
1502067600,1.64878,1.6488,1.64818,1.6485,0,0
1502067900,1.6485,1.64919,1.64852,1.64908,0,0
1502068200,1.64908,1.6494,1.6489,1.64906,0,0
1502068500,1.64906,1.64938,1.64887,1.6493,0,0
1502068800,1.6493,1.64934,1.64908,1.64912,0,0
1502069100,1.64912,1.64914,1.64887,1.64902,0,0
1502069400,1.64902,1.64933,1.6489,1.64916,0,0
1502069700,1.64916,1.64934,1.64863,1.64866,0,0
1502070000,1.64866,1.64876,1.64831,1.64831,0,0
1502070300,1.64831,1.6484,1.64818,1.64836,0,0
1502070600,1.64836,1.64861,1.64819,1.64828,0,0
1502070900,1.64828,1.64872,1.64817,1.64842,0,0
1502071200,1.64842,1.64869,1.64823,1.64827,0,0
1502071500,1.64827,1.6487,1.64818,1.64826,0,0
1502071800,1.64826,1.64894,1.64822,1.64893,0,0
1502072100,1.64893,1.64908,1.64862,1.64905,0,0
1502072400,1.64905,1.64959,1.6488,1.64944,0,0
1502072700,1.64944,1.64949,1.64925,1.64936,0,0
1502073000,1.64936,1.64967,1.64934,1.64958,0,0
1502073300,1.64958,1.64959,1.64915,1.64915,0,0
1502073600,1.64915,1.64924,1.64896,1.64902,0,0
1502073900,1.64902,1.64924,1.64898,1.64906,0,0
1502074200,1.64906,1.64916,1.64901,1.64913,0,0
1502074500,1.64913,1.6495,1.64913,1.64948,0,0
1502074800,1.64948,1.65002,1.64937,1.64966,0,0
1502075100,1.64966,1.6498,1.64933,1.64936,0,0
1502075400,1.64936,1.64946,1.6492,1.64944,0,0
1502075700,1.64944,1.64966,1.64928,1.64943,0,0
1502076000,1.64943,1.64952,1.64922,1.6493,0,0
1502076300,1.6493,1.64948,1.64906,1.64935,0,0
1502076600,1.64935,1.6494,1.649,1.64915,0,0
1502076900,1.64915,1.64924,1.64896,1.64896,0,0
1502077200,1.64896,1.6493,1.64894,1.6493,0,0
1502077500,1.6493,1.64932,1.64912,1.64932,0,0
1502077800,1.64932,1.64944,1.6492,1.6493,0,0
1502078100,1.6493,1.64938,1.64912,1.64931,0,0
1502078400,1.64931,1.6495,1.6491,1.6493,0,0
1502078700,1.6493,1.64976,1.6493,1.64972,0,0
1502079000,1.64972,1.6499,1.64962,1.64985,0,0
1502079300,1.64985,1.65008,1.64978,1.65002,0,0
1502079600,1.65002,1.65023,1.65002,1.65012,0,0
1502079900,1.65012,1.65012,1.64985,1.65,0,0
1502080200,1.65,1.65008,1.64985,1.65006,0,0
1502080500,1.65006,1.65063,1.65006,1.65062,0,0
1502080800,1.65062,1.65082,1.65038,1.65047,0,0
1502081100,1.65047,1.65049,1.65024,1.6503,0,0
1502081400,1.6503,1.6504,1.65026,1.65028,0,0
1502081700,1.65028,1.65036,1.65016,1.65036,0,0
1502082000,1.65036,1.65071,1.65037,1.65066,0,0
1502082300,1.65066,1.65074,1.65048,1.65074,0,0
1502082600,1.65074,1.65086,1.65044,1.65049,0,0
1502082900,1.65049,1.65052,1.65035,1.6504,0,0
1502083200,1.6504,1.65044,1.65018,1.65018,0,0
1502083500,1.65018,1.65024,1.65004,1.6501,0,0
1502083800,1.6501,1.65021,1.65007,1.65019,0,0
1502084100,1.65019,1.65034,1.65006,1.65019,0,0
1502084400,1.65019,1.6506,1.65018,1.6505,0,0
1502084700,1.6505,1.65079,1.65042,1.65062,0,0
1502085000,1.65062,1.65077,1.65061,1.65068,0,0
1502085300,1.65068,1.65098,1.6506,1.6508,0,0
1502085600,1.6508,1.65122,1.6507,1.6511,0,0
1502085900,1.6511,1.65117,1.651,1.6511,0,0
1502086200,1.6511,1.65172,1.6511,1.6516,0,0
1502086500,1.6516,1.65168,1.65126,1.65139,0,0
1502086800,1.65139,1.65184,1.65126,1.6516,0,0
1502087100,1.6516,1.65176,1.65111,1.65111,0,0
1502087400,1.65111,1.65173,1.65079,1.65173,0,0
1502087700,1.65173,1.65176,1.65118,1.65125,0,0
1502088000,1.65125,1.65134,1.65114,1.65122,0,0
1502088300,1.65122,1.65204,1.65108,1.6518,0,0
1502088600,1.6518,1.652,1.65081,1.6511,0,0
1502088900,1.6511,1.65199,1.65103,1.65194,0,0
1502089200,1.65194,1.65236,1.65084,1.65113,0,0
1502089500,1.65113,1.65178,1.65074,1.65164,0,0
1502089800,1.65164,1.6518,1.65126,1.65132,0,0
1502090100,1.65132,1.65264,1.65132,1.65243,0,0
1502090400,1.65243,1.65366,1.65237,1.65348,0,0
