time,open,high,low,close,"Pattern Alert",Volume
1504895400,1.24788,1.24796,1.24768,1.24777,0,0
1504895700,1.24777,1.24796,1.24768,1.24774,0,0
1504896000,1.24774,1.24777,1.24752,1.24762,0,0
1504896300,1.24762,1.24765,1.24752,1.24756,0,0
1504896600,1.24756,1.24774,1.24756,1.24764,0,0
1504896900,1.24764,1.24777,1.24738,1.24754,0,0
1504897200,1.24754,1.24776,1.24746,1.24758,0,0
1504897500,1.24758,1.2479,1.24755,1.24779,0,0
1504897800,1.24779,1.24797,1.24774,1.24796,0,0
1504898100,1.24796,1.24813,1.24784,1.24789,0,0
1504898400,1.24789,1.24812,1.24772,1.24777,0,0
1504898700,1.24777,1.24795,1.24738,1.24776,0,0
1504899000,1.24776,1.24784,1.24752,1.24784,0,0
1504899300,1.24784,1.24803,1.24768,1.24784,0,0
1504899600,1.24784,1.24837,1.24784,1.24829,0,0
1504899900,1.24829,1.24842,1.24821,1.2484,0,0
1504900200,1.2484,1.24853,1.24782,1.24784,0,0
1504900500,1.24784,1.24784,1.24731,1.24755,0,0
1504900800,1.24755,1.24792,1.24736,1.24736,0,0
1504901100,1.24736,1.2474,1.24708,1.24708,0,0
1504901400,1.24708,1.2471,1.24692,1.24693,0,0
1504901700,1.24693,1.24741,1.24694,1.24731,0,0
1504902000,1.24731,1.24737,1.24714,1.2473,0,0
1504902300,1.2473,1.24732,1.24706,1.2471,0,0
1504902600,1.2471,1.24744,1.24707,1.24732,0,0
1504902900,1.24732,1.24733,1.24678,1.24678,0,0
1504903200,1.24678,1.24677,1.24629,1.2463,0,0
1504903500,1.2463,1.24637,1.24607,1.24634,0,0
1504903800,1.24634,1.24672,1.24612,1.2465,0,0
1504904100,1.2465,1.24652,1.24578,1.24604,0,0
