time,open,high,low,close,"Pattern Alert",Volume
1491244200,1.24768,1.2478,1.2477,1.2478,0,0
1491244500,1.2478,1.2478,1.24752,1.24752,0,0
1491244800,1.24752,1.24762,1.2473,1.24746,0,0
1491245100,1.24746,1.24758,1.24744,1.24755,0,0
1491245400,1.24755,1.24758,1.24736,1.24742,0,0
1491245700,1.24742,1.24778,1.24738,1.24746,0,0
1491246000,1.24746,1.24764,1.24738,1.2475,0,0
1491246300,1.2475,1.24758,1.24734,1.24752,0,0
1491246600,1.24752,1.24756,1.24746,1.24749,0,0
1491246900,1.24749,1.24758,1.2474,1.24758,0,0
1491247200,1.24758,1.24764,1.2474,1.24746,0,0
1491247500,1.24746,1.24764,1.24738,1.24752,0,0
1491247800,1.24752,1.24774,1.24756,1.24759,0,0
1491248100,1.24759,1.24764,1.24756,1.24764,0,0
1491248400,1.24764,1.24766,1.24751,1.24762,0,0
1491248700,1.24762,1.24776,1.24767,1.24774,0,0
1491249000,1.24774,1.24774,1.24756,1.24763,0,0
1491249300,1.24763,1.2482,1.24763,1.24816,0,0
1491249600,1.24816,1.24817,1.2479,1.24812,0,0
1491249900,1.24812,1.24839,1.24798,1.24802,0,0
1491250200,1.24802,1.24838,1.24792,1.24824,0,0
1491250500,1.24824,1.24834,1.24814,1.24833,0,0
1491250800,1.24833,1.24848,1.24824,1.24836,0,0
1491251100,1.24836,1.2484,1.24826,1.24836,0,0
1491251400,1.24836,1.24839,1.24824,1.24837,0,0
1491251700,1.24837,1.2485,1.24826,1.24845,0,0
1491252000,1.24845,1.24846,1.24826,1.24831,0,0
1491252300,1.24831,1.24844,1.24827,1.24844,0,0
1491252600,1.24844,1.24844,1.24836,1.24836,0,0
1491252900,1.24836,1.24873,1.24836,1.24862,0,0
1491253200,1.24862,1.24862,1.2477,1.2482,0,0
1491253500,1.2482,1.24847,1.24795,1.24847,0,0
1491253800,1.24847,1.24846,1.24824,1.24846,0,0
1491254100,1.24846,1.24842,1.24812,1.24832,0,0
1491254400,1.24832,1.2485,1.24833,1.2485,0,0
1491254700,1.2485,1.24905,1.24826,1.2483,0,0
1491255000,1.2483,1.24836,1.24824,1.24836,0,0
1491255300,1.24836,1.2485,1.24838,1.24843,0,0
1491255600,1.24843,1.24843,1.24843,1.24843,0,0
1491255900,1.24843,1.24874,1.24843,1.24854,0,0
1491256200,1.24854,1.2486,1.24848,1.2485,0,0
1491256500,1.2485,1.2485,1.2485,1.2485,0,0
1491256800,1.2485,1.24876,1.24844,1.24864,0,0
1491257100,1.24864,1.24879,1.24842,1.24845,0,0
1491257400,1.24845,1.24877,1.24841,1.24866,0,0
1491257700,1.24866,1.24908,1.24864,1.24898,0,0
1491258000,1.24898,1.24906,1.24876,1.2489,0,0
1491258300,1.2489,1.24896,1.24848,1.24853,0,0
1491258600,1.24853,1.2488,1.24844,1.24859,0,0
1491258900,1.24859,1.24865,1.24829,1.2483,0,0
1491259200,1.2483,1.24868,1.24821,1.24866,0,0
1491259500,1.24866,1.24876,1.24862,1.24868,0,0
1491259800,1.24868,1.24877,1.24858,1.24859,0,0
1491260100,1.24859,1.24874,1.24838,1.24864,0,0
1491260400,1.24864,1.2488,1.24864,1.24874,0,0
1491260700,1.24874,1.24868,1.24863,1.24868,0,0
1491261000,1.24868,1.24887,1.24876,1.24887,0,0
1491261300,1.24887,1.24887,1.24885,1.24885,0,0
1491261600,1.24885,1.24914,1.24875,1.24914,0,0
1491261900,1.24914,1.24931,1.24912,1.2492,0,0
1491262200,1.2492,1.24921,1.2487,1.24879,0,0
1491262500,1.24879,1.24898,1.2488,1.2489,0,0
1491262800,1.2489,1.24895,1.2487,1.24888,0,0
1491263100,1.24888,1.24882,1.2487,1.24878,0,0
1491263400,1.24878,1.24912,1.24874,1.24906,0,0
1491263700,1.24906,1.24912,1.249,1.24902,0,0
1491264000,1.24902,1.24919,1.24852,1.24872,0,0
1491264300,1.24872,1.24882,1.24851,1.24873,0,0
1491264600,1.24873,1.249,1.24872,1.24898,0,0
1491264900,1.24898,1.24924,1.24897,1.24914,0,0
1491265200,1.24914,1.24922,1.24888,1.24893,0,0
1491265500,1.24893,1.24911,1.24874,1.24898,0,0
1491265800,1.24898,1.24924,1.24898,1.24906,0,0
1491266100,1.24906,1.24916,1.24885,1.24901,0,0
1491266400,1.24901,1.24908,1.24874,1.24875,0,0
1491266700,1.24875,1.24938,1.24882,1.24938,0,0
1491267000,1.24938,1.24942,1.24887,1.24904,0,0
1491267300,1.24904,1.24912,1.2489,1.24902,0,0
1491267600,1.24902,1.2491,1.2486,1.24884,0,0
1491267900,1.24884,1.24914,1.2487,1.24912,0,0
1491268200,1.24912,1.24912,1.24894,1.24906,0,0
1491268500,1.24906,1.2492,1.24906,1.24914,0,0
1491268800,1.24914,1.24919,1.2489,1.24904,0,0
1491269100,1.24904,1.24938,1.24896,1.24927,0,0
1491269400,1.24927,1.24952,1.24923,1.24946,0,0
1491269700,1.24946,1.24946,1.24895,1.24897,0,0
1491270000,1.24897,1.24902,1.24869,1.24881,0,0
1491270300,1.24881,1.2489,1.24873,1.24887,0,0
1491270600,1.24887,1.2489,1.24858,1.24871,0,0
1491270900,1.24871,1.24884,1.2487,1.24871,0,0
1491271200,1.24871,1.24912,1.2487,1.24904,0,0
1491271500,1.24904,1.24922,1.24899,1.24913,0,0
1491271800,1.24913,1.2492,1.24902,1.24915,0,0
1491272100,1.24915,1.24912,1.249,1.2491,0,0
1491272400,1.2491,1.24913,1.249,1.24913,0,0
1491272700,1.24913,1.24913,1.24901,1.2491,0,0
1491273000,1.2491,1.24922,1.24904,1.2492,0,0
1491273300,1.2492,1.24922,1.24901,1.24911,0,0
1491273600,1.24911,1.2493,1.24906,1.2491,0,0
1491273900,1.2491,1.24924,1.24908,1.2492,0,0
1491274200,1.2492,1.24921,1.24916,1.24921,0,0
1491274500,1.24921,1.24922,1.24905,1.24905,0,0
1491274800,1.24905,1.24912,1.24876,1.24876,0,0
1491275100,1.24876,1.24886,1.24872,1.24881,0,0
1491275400,1.24881,1.24884,1.24876,1.2488,0,0
1491275700,1.2488,1.2489,1.2488,1.2489,0,0
1491276000,1.2489,1.24897,1.24884,1.24897,0,0
1491276300,1.24897,1.24902,1.2489,1.24901,0,0
1491276600,1.24901,1.24904,1.249,1.24904,0,0
1491276900,1.24904,1.24912,1.24888,1.24892,0,0
1491277200,1.24892,1.2492,1.24893,1.24917,0,0
1491277500,1.24917,1.2493,1.24902,1.24902,0,0
1491277800,1.24902,1.2492,1.24904,1.2492,0,0
1491278100,1.2492,1.24922,1.24884,1.24886,0,0
1491278400,1.24886,1.24892,1.24872,1.24876,0,0
1491278700,1.24876,1.24875,1.24758,1.24776,0,0
1491279000,1.24776,1.24778,1.24694,1.24731,0,0
1491279300,1.24731,1.24756,1.24586,1.2461,0,0
1491279600,1.2461,1.24715,1.24605,1.24706,0,0
1491279900,1.24706,1.24722,1.247,1.24715,0,0
1491280200,1.24715,1.24719,1.24641,1.2469,0,0
1491280500,1.2469,1.24716,1.24678,1.24716,0,0
1491280800,1.24716,1.24742,1.24713,1.24732,0,0
1491281100,1.24732,1.24749,1.24708,1.24744,0,0
1491281400,1.24744,1.24755,1.24728,1.24734,0,0
1491281700,1.24734,1.24742,1.2472,1.24739,0,0
1491282000,1.24739,1.24774,1.24738,1.2476,0,0
