time,open,high,low,close,"Pattern Alert",Volume
1509993000,1.273,1.27303,1.27294,1.27298,0,0
1509993300,1.27298,1.273,1.27278,1.2729,0,0
1509993600,1.2729,1.27298,1.2727,1.27289,0,0
1509993900,1.27289,1.27294,1.27284,1.2729,0,0
1509994200,1.2729,1.27301,1.2728,1.27292,0,0
1509994500,1.27292,1.273,1.27281,1.27298,0,0
1509994800,1.27298,1.27302,1.27288,1.27294,0,0
1509995100,1.27294,1.27294,1.27268,1.2728,0,0
1509995400,1.2728,1.2729,1.27266,1.27286,0,0
1509995700,1.27286,1.27284,1.27273,1.27279,0,0
1509996000,1.27279,1.27292,1.27278,1.27286,0,0
1509996300,1.27286,1.27288,1.27267,1.27267,0,0
1509996600,1.27267,1.27273,1.27254,1.27268,0,0
1509996900,1.27268,1.27275,1.27265,1.27271,0,0
1509997200,1.27271,1.27271,1.27232,1.27238,0,0
1509997500,1.27238,1.27253,1.27218,1.27218,0,0
1509997800,1.27218,1.27222,1.27165,1.27196,0,0
1509998100,1.27196,1.27228,1.2718,1.2719,0,0
1509998400,1.2719,1.27222,1.27177,1.27207,0,0
1509998700,1.27207,1.27213,1.27201,1.27204,0,0
1509999000,1.27204,1.27206,1.27198,1.27198,0,0
1509999300,1.27198,1.2722,1.27198,1.2721,0,0
1509999600,1.2721,1.27226,1.27208,1.27212,0,0
1509999900,1.27212,1.27226,1.2721,1.27219,0,0
1510000200,1.27219,1.27218,1.27208,1.27214,0,0
1510000500,1.27214,1.27226,1.27206,1.27206,0,0
1510000800,1.27206,1.27215,1.27202,1.27212,0,0
1510001100,1.27212,1.27228,1.272,1.2722,0,0
1510001400,1.2722,1.27252,1.27218,1.2725,0,0
1510001700,1.2725,1.27254,1.27136,1.27141,0,0
1510002000,1.27141,1.27158,1.2711,1.27138,0,0
1510002300,1.27138,1.27139,1.27114,1.2713,0,0
1510002600,1.2713,1.27132,1.27089,1.27094,0,0
1510002900,1.27094,1.27096,1.2707,1.27088,0,0
1510003200,1.27088,1.27102,1.27086,1.27086,0,0
1510003500,1.27086,1.27106,1.27082,1.27082,0,0
1510003800,1.27082,1.27086,1.2708,1.27084,0,0
1510004100,1.27084,1.27085,1.27063,1.27069,0,0
1510004400,1.27069,1.2708,1.27065,1.27074,0,0
1510004700,1.27074,1.27076,1.27046,1.2706,0,0
1510005000,1.2706,1.27062,1.27049,1.27054,0,0
1510005300,1.27054,1.27054,1.2703,1.2703,0,0
1510005600,1.2703,1.27084,1.2703,1.27084,0,0
1510005900,1.27084,1.27085,1.27063,1.2707,0,0
1510006200,1.2707,1.27102,1.27062,1.27068,0,0
1510006500,1.27068,1.27096,1.27074,1.27096,0,0
1510006800,1.27096,1.27106,1.27104,1.27105,0,0
1510007100,1.27105,1.27118,1.27087,1.27104,0,0
1510007400,1.27104,1.27108,1.27094,1.27108,0,0
1510007700,1.27108,1.27111,1.27102,1.27105,0,0
1510008000,1.27105,1.27118,1.27104,1.27106,0,0
1510008300,1.27106,1.27106,1.27097,1.27097,0,0
1510008600,1.27097,1.27116,1.27096,1.27112,0,0
1510008900,1.27112,1.27132,1.27112,1.27126,0,0
1510009200,1.27126,1.27125,1.27096,1.27106,0,0
1510009500,1.27106,1.27144,1.27104,1.27142,0,0
1510009800,1.27142,1.27154,1.27128,1.27128,0,0
1510010100,1.27128,1.27144,1.27124,1.27141,0,0
1510010400,1.27141,1.27143,1.27134,1.27142,0,0
1510010700,1.27142,1.27148,1.27142,1.27144,0,0
1510011000,1.27144,1.27145,1.27118,1.27118,0,0
1510011300,1.27118,1.27128,1.27105,1.27128,0,0
1510011600,1.27128,1.27138,1.27127,1.27138,0,0
1510011900,1.27138,1.27142,1.27125,1.27137,0,0
1510012200,1.27137,1.27144,1.2713,1.27144,0,0
