time,open,high,low,close,"Pattern Alert",Volume
1499365800,113.215,113.214,113.182,113.208,0,0
1499366100,113.208,113.21,113.18,113.191,0,0
1499366400,113.191,113.222,113.19,113.211,0,0
1499366700,113.211,113.226,113.202,113.226,0,0
1499367000,113.226,113.25,113.22,113.247,0,0
1499367300,113.247,113.266,113.232,113.258,0,0
1499367600,113.258,113.276,113.257,113.264,0,0
1499367900,113.264,113.274,113.246,113.27,0,0
1499368200,113.27,113.275,113.242,113.245,0,0
1499368500,113.245,113.276,113.242,113.257,0,0
1499368800,113.257,113.258,113.234,113.244,0,0
1499369100,113.244,113.244,113.208,113.209,0,0
1499369400,113.209,113.22,113.196,113.214,0,0
1499369700,113.214,113.212,113.163,113.178,0,0
1499370000,113.178,113.181,113.165,113.17,0,0
1499370300,113.17,113.198,113.169,113.188,0,0
1499370600,113.188,113.227,113.177,113.22,0,0
1499370900,113.22,113.232,113.198,113.201,0,0
1499371200,113.201,113.208,113.19,113.196,0,0
1499371500,113.196,113.2,113.183,113.188,0,0
1499371800,113.188,113.192,113.178,113.183,0,0
1499372100,113.183,113.189,113.156,113.184,0,0
1499372400,113.184,113.217,113.184,113.217,0,0
1499372700,113.217,113.222,113.201,113.208,0,0
1499373000,113.208,113.222,113.2,113.204,0,0
1499373300,113.204,113.222,113.199,113.222,0,0
1499373600,113.222,113.222,113.194,113.195,0,0
1499373900,113.195,113.22,113.192,113.218,0,0
1499374200,113.218,113.228,113.2,113.212,0,0
1499374500,113.212,113.222,113.198,113.218,0,0
1499374800,113.218,113.218,113.162,113.168,0,0
1499375100,113.168,113.185,113.166,113.185,0,0
1499375400,113.185,113.21,113.182,113.204,0,0
1499375700,113.204,113.226,113.206,113.206,0,0
1499376000,113.206,113.204,113.17,113.174,0,0
1499376300,113.174,113.184,113.176,113.178,0,0
1499376600,113.178,113.178,113.166,113.166,0,0
1499376900,113.166,113.168,113.136,113.138,0,0
1499377200,113.138,113.14,113.124,113.133,0,0
1499377500,113.133,113.174,113.132,113.174,0,0
1499377800,113.174,113.22,113.165,113.176,0,0
1499378100,113.176,113.18,113.17,113.18,0,0
1499378400,113.18,113.198,113.176,113.19,0,0
1499378700,113.19,113.194,113.13,113.134,0,0
1499379000,113.134,113.145,113.127,113.132,0,0
1499379300,113.132,113.156,113.134,113.144,0,0
1499379600,113.144,113.161,113.136,113.136,0,0
1499379900,113.136,113.148,113.123,113.132,0,0
1499380200,113.132,113.2,113.129,113.153,0,0
1499380500,113.153,113.172,113.148,113.151,0,0
1499380800,113.151,113.152,113.13,113.15,0,0
1499381100,113.15,113.148,113.106,113.112,0,0
1499381400,113.112,113.136,113.108,113.122,0,0
1499381700,113.122,113.131,113.116,113.122,0,0
1499382000,113.122,113.132,113.111,113.124,0,0
1499382300,113.124,113.168,113.124,113.156,0,0
1499382600,113.156,113.2,113.138,113.14,0,0
1499382900,113.14,113.152,113.138,113.138,0,0
1499383200,113.138,113.154,113.136,113.15,0,0
1499383500,113.15,113.162,113.138,113.155,0,0
1499383800,113.155,113.155,113.132,113.136,0,0
1499384100,113.136,113.136,113.107,113.122,0,0
1499384400,113.122,113.148,113.124,113.141,0,0
1499384700,113.141,113.152,113.109,113.123,0,0
1499385000,113.123,113.138,113.124,113.137,0,0
1499385300,113.137,113.16,113.13,113.154,0,0
1499385600,113.154,113.227,113.154,113.216,0,0
1499385900,113.216,113.262,113.214,113.258,0,0
1499386200,113.258,113.305,113.246,113.284,0,0
1499386500,113.284,113.297,113.269,113.291,0,0
1499386800,113.291,113.317,113.276,113.296,0,0
1499387100,113.296,113.3,113.273,113.28,0,0
1499387400,113.28,113.292,113.261,113.261,0,0
1499387700,113.261,113.272,113.248,113.248,0,0
1499388000,113.248,113.267,113.235,113.238,0,0
1499388300,113.238,113.262,113.206,113.216,0,0
1499388600,113.216,113.287,113.214,113.256,0,0
1499388900,113.256,113.264,113.205,113.241,0,0
1499389200,113.241,113.246,113.212,113.24,0,0
1499389500,113.24,113.265,113.23,113.238,0,0
1499389800,113.238,113.504,113.181,113.494,0,0
1499390100,113.494,113.512,113.414,113.476,0,0
1499390400,113.476,113.482,113.375,113.407,0,0
1499390700,113.407,113.544,113.406,113.536,0,0
1499391000,113.536,113.534,113.471,113.484,0,0
1499391300,113.484,113.515,113.454,113.502,0,0
1499391600,113.502,113.516,113.469,113.473,0,0
1499391900,113.473,113.69,113.462,113.664,0,0
1499392200,113.664,113.714,113.648,113.696,0,0
1499392500,113.696,113.768,113.695,113.714,0,0
1499392800,113.714,113.754,113.701,113.706,0,0
1499393100,113.706,113.77,113.706,113.74,0,0
1499393400,113.74,113.808,113.734,113.765,0,0
1499393700,113.765,113.84,113.762,113.814,0,0
1499394000,113.814,113.816,113.774,113.784,0,0
1499394300,113.784,113.804,113.776,113.797,0,0
1499394600,113.797,113.816,113.734,113.744,0,0
1499394900,113.744,113.78,113.742,113.769,0,0
1499395200,113.769,113.785,113.746,113.75,0,0
1499395500,113.75,113.762,113.711,113.716,0,0
1499395800,113.716,113.727,113.706,113.725,0,0
1499396100,113.725,113.732,113.696,113.709,0,0
1499396400,113.709,113.732,113.691,113.702,0,0
1499396700,113.702,113.702,113.654,113.671,0,0
1499397000,113.671,113.686,113.654,113.683,0,0
1499397300,113.683,113.692,113.665,113.666,0,0
1499397600,113.666,113.667,113.628,113.632,0,0
1499397900,113.632,113.66,113.623,113.66,0,0
1499398200,113.66,113.672,113.64,113.646,0,0
1499398500,113.646,113.657,113.624,113.628,0,0
1499398800,113.628,113.63,113.616,113.624,0,0
1499399100,113.624,113.652,113.624,113.637,0,0
1499399400,113.637,113.643,113.608,113.616,0,0
1499399700,113.616,113.656,113.615,113.635,0,0
1499400000,113.635,113.636,113.583,113.604,0,0
1499400300,113.604,113.61,113.592,113.599,0,0
1499400600,113.599,113.604,113.592,113.594,0,0
1499400900,113.594,113.624,113.574,113.585,0,0
1499401200,113.585,113.592,113.55,113.57,0,0
1499401500,113.57,113.58,113.558,113.577,0,0
1499401800,113.577,113.61,113.577,113.591,0,0
1499402100,113.591,113.64,113.592,113.636,0,0
1499402400,113.636,113.676,113.635,113.662,0,0
1499402700,113.662,113.692,113.66,113.692,0,0
1499403000,113.692,113.696,113.674,113.677,0,0
1499403300,113.677,113.7,113.623,113.628,0,0
1499403600,113.628,113.684,113.629,113.662,0,0
1499403900,113.662,113.674,113.634,113.634,0,0
1499404200,113.634,113.668,113.631,113.668,0,0
1499404500,113.668,113.688,113.662,113.68,0,0
1499404800,113.68,113.709,113.674,113.674,0,0
1499405100,113.674,113.684,113.668,113.668,0,0
1499405400,113.668,113.714,113.668,113.701,0,0
1499405700,113.701,113.724,113.688,113.688,0,0
1499406000,113.688,113.739,113.688,113.734,0,0
1499406300,113.734,113.739,113.714,113.724,0,0
